startYear,averageRating_long,averageRating_other
2000.0,7.0,6.4
2001.0,7.2,6.4
2002.0,7.3,6.4
2003.0,7.4,6.4
2004.0,7.3,6.4
2005.0,7.0,6.4
2006.0,7.1,6.4
2007.0,7.3,6.4
2008.0,7.0,6.3
2009.0,6.9,6.2
2010.0,6.95,6.4
2011.0,7.0,6.2
2012.0,6.9,6.2
2013.0,6.9,6.3
2014.0,6.95,6.2
2015.0,7.0,6.1
2016.0,7.0,6.2
2017.0,6.8,6.2
2018.0,7.0,6.1
2019.0,7.0,6.2
2020.0,6.8,6.0
2021.0,6.6,6.1
2022.0,6.8,6.1
2023.0,6.8,6.1
