primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,Production Budget,Worldwide Gross
Junebug,2005,106,6.9,23362,Phil Morrison,1000000,3553253
Doom,2005,105,5.2,118138,Andrzej Bartkowiak,70000000,58757178
Domino,2005,127,5.9,69112,Tony Scott,50000000,23574057
Red Eye,2005,85,6.5,133844,Wes Craven,26000000,96666486
Diary of a Mad Black Woman,2005,116,5.7,15726,Darren Grant,5500000,50458356
Just Like Heaven,2005,95,6.7,116669,Mark Waters,58000000,100687083
Venom,2005,87,4.6,10751,Jim Gillespie,25000000,881745
Four Brothers,2005,109,6.8,155471,John Singleton,30000000,92494381
Get Rich or Die Tryin',2005,117,5.5,49784,Jim Sheridan,40000000,46666955
The Fog,2005,100,3.7,38972,Rupert Wainwright,18000000,37048526
Saw II,2005,93,6.6,274073,Darren Lynn Bousman,5000000,152925093
Murderball,2005,88,7.7,10429,"Henry Alex Rubin, Dana Adam Shapiro",350000,1772979
Cheaper by the Dozen 2,2005,94,5.5,62352,Adam Shankman,60000000,135015330
Wal-Mart: The High Cost of Low Price,2005,98,6.8,4595,Robert Greenwald,1500000,58692
Children of Men,2006,109,7.9,525238,Alfonso Cuarón,76000000,69845011
Bobby,2006,117,7,42714,Emilio Estevez,14000000,20597806
Cars,2006,117,7.2,461793,"John Lasseter, Joe Ranft",70000000,461630558
Mission: Impossible III,2006,126,6.9,387227,J.J. Abrams,150000000,399387745
Over the Hedge,2006,83,6.7,187858,"Tim Johnson, Karey Kirkpatrick",80000000,343397247
The Good Shepherd,2006,167,6.7,107700,Robert De Niro,80000000,100378271
Superman Returns,2006,154,6.1,290389,Bryan Singer,232000000,391081192
10th & Wolf,2006,107,6.3,6867,Bobby Moresco,8000000,143782
Scary Movie 4,2006,83,5.1,128279,David Zucker,40000000,178710620
Happy Feet,2006,108,6.4,198240,"Judy Morris, George Miller, Warren Coleman",85000000,385000315
Shortbus,2006,101,6.4,35199,John Cameron Mitchell,2000000,1997497
Ultraviolet,2006,88,4.3,83768,Kurt Wimmer,30000000,30962112
X-Men: The Last Stand,2006,104,6.6,536709,Brett Ratner,210000000,459260946
Casino Royale,2006,144,8,689126,Martin Campbell,102000000,594420216
Curious George,2006,87,6.5,17891,Matthew O'Callaghan,50000000,71052604
The Da Vinci Code,2006,149,6.6,455571,Ron Howard,125000000,767820459
Zoom,2006,93,4.4,22635,Peter Hewitt,35000000,12506188
The Pink Panther,2006,93,5.7,91794,Shawn Levy,80000000,158926474
Silent Hill,2006,125,6.5,242182,Christophe Gans,50000000,94704227
Glory Road,2006,118,7.2,48482,James Gartner,30000000,42799060
Monster House,2006,91,6.6,136327,Gil Kenan,75000000,141267370
Renaissance,2006,105,6.6,16380,Christian Volckman,18000000,2401413
Idiocracy,2006,84,6.5,179341,Mike Judge,2400000,500296
The Black Dahlia,2006,121,5.6,76669,Brian De Palma,60000000,49238525
Click,2006,107,6.4,353143,Frank Coraci,82500000,237685089
The Shaggy Dog,2006,98,4.4,20021,Brian Robbins,60000000,87123569
Perfume: The Story of a Murderer,2006,147,7.5,263764,Tom Tykwer,63700000,133603463
Just My Luck,2006,108,5.4,60955,Donald Petrie,28000000,38159905
Eight Below,2006,120,7.3,67912,Frank Marshall,40000000,120455994
Open Season,2006,86,6.1,104672,"Roger Allers, Jill Culton, Anthony Stacchi",85000000,191932158
A Good Year,2006,117,6.9,100702,Ridley Scott,35000000,42064105
Underworld: Evolution,2006,106,6.7,208098,Len Wiseman,45000000,113417762
Little Children,2006,137,7.5,116028,Todd Field,14000000,14121177
Running Scared,2006,122,7.3,103219,Wayne Kramer,17000000,9729088
A Scanner Darkly,2006,100,7,116518,Richard Linklater,20000000,7405084
The Wild,2006,95,5.2,27399,Steve 'Spaz' Williams,80000000,99010667
Rang De Basanti,2006,167,8.1,121973,Rakeysh Omprakash Mehra,5300000,29197694
All the King's Men,2006,128,6.1,25474,Steven Zaillian,55000000,9521458
The Guardian,2006,139,6.9,97438,Andrew Davis,70000000,94973540
The Departed,2006,151,8.5,1407147,Martin Scorsese,90000000,289660619
Firewall,2006,105,5.8,59406,Richard Loncraine,50000000,82751189
Last Holiday,2006,112,6.6,35879,Wayne Wang,45000000,43343247
Poseidon,2006,98,5.7,109761,Wolfgang Petersen,160000000,181674817
The Lake House,2006,99,6.8,156739,Alejandro Agresti,40000000,114830111
Final Destination 3,2006,93,5.8,152406,James Wong,25000000,112798051
The Fountain,2006,97,7.2,247613,Darren Aronofsky,35000000,15461638
Talladega Nights: The Ballad of Ricky Bobby,2006,108,6.6,197578,Adam McKay,73000000,162870525
Bandidas,2006,93,5.7,37090,"Joachim Rønning, Espen Sandberg",35000000,19282590
Snakes on a Plane,2006,105,5.5,144063,David R. Ellis,33000000,62020814
Idlewild,2006,121,6.2,5732,Bryan Barber,15000000,12669914
Flags of Our Fathers,2006,135,7.1,128484,Clint Eastwood,53000000,63657941
Find Me Guilty,2006,125,7,35917,Sidney Lumet,13000000,2898225
The Marine,2006,92,4.7,35586,John Bonito,15000000,22165608
A Prairie Home Companion,2006,105,6.7,23513,Robert Altman,10000000,26716191
Stranger Than Fiction,2006,113,7.5,235617,Marc Forster,30000000,53572822
The Texas Chainsaw Massacre: The Beginning,2006,91,5.8,76833,Jonathan Liebesman,16000000,50517763
Infamous,2006,110,7,18100,Douglas McGrath,13000000,2613717
Gridiron Gang,2006,125,7.1,80371,Phil Joanou,30000000,41457834
Big Momma's House 2,2006,99,4.8,46135,John Whitesell,40000000,137047376
Marie Antoinette,2006,123,6.5,120312,Sofia Coppola,40000000,60862471
The Oh in Ohio,2006,88,5.5,6496,Billy Kent,5000000,648183
Sherrybaby,2006,96,6.6,12030,Laurie Collyer,2000000,759504
Flushed Away,2006,85,6.6,137326,"Sam Fell, David Bowers",149000000,179357126
Clerks II,2006,97,7.3,140141,Kevin Smith,5000000,27342246
Copying Beethoven,2006,104,6.7,14083,Agnieszka Holland,11000000,6586324
Employee of the Month,2006,103,5.5,49870,Greg Coolidge,10000000,38364855
Lucky Number Slevin,2006,110,7.7,324119,Paul McGuigan,27000000,55495466
Failure to Launch,2006,97,5.6,85132,Tom Dey,50000000,128402901
The Ant Bully,2006,88,5.8,41546,John A. Davis,45000000,49610898
Aquamarine,2006,110,5.4,44725,Elizabeth Allen Rosenbaum,12000000,22978953
Little Man,2006,98,4.5,59276,Keenen Ivory Wayans,64000000,101636047
Miami Vice,2006,132,6.1,122879,Michael Mann,135000000,164920076
One Night with the King,2006,123,6,7746,Michael O. Sajbel,20000000,13725032
Stick It,2006,103,6.4,30259,Jessica Bendinger,20000000,30399714
Basic Instinct 2,2006,114,4.4,41329,Michael Caton-Jones,70000000,35417162
Krrish,2006,185,6.4,23742,Rakesh Roshan,10000000,32430721
The Grudge 2,2006,102,5,51237,Takashi Shimizu,20000000,70743839
Flicka,2006,95,6,8453,Michael Mayer,15000000,21896367
Friends with Money,2006,88,5.8,31969,Nicole Holofcener,6500000,18110152
The Queen,2006,103,7.3,115522,Stephen Frears,15000000,128885873
See No Evil,2006,84,5,28643,Gregory Dark,8000000,18828036
Catch a Fire,2006,101,6.7,11002,Phillip Noyce,14000000,5782198
Akeelah and the Bee,2006,112,7.4,21448,Doug Atchison,8000000,18959424
The Benchwarmers,2006,85,5.5,54505,Dennis Dugan,35000000,65063726
Ice Age: The Meltdown,2006,91,6.8,294077,Carlos Saldanha,75000000,651899282
Peaceful Warrior,2006,120,7.2,29673,Victor Salva,10000000,3260179
Slither,2006,95,6.5,88203,James Gunn,15250000,12930343
Stay Alive,2006,85,5,33788,William Brent Bell,20000000,27565514
Volver,2006,121,7.6,106817,Pedro Almodóvar,9400000,87226613
Borat,2006,84,7.4,437537,Larry Charles,18000000,261443242
Dreamgirls,2006,130,6.6,76817,Bill Condon,75000000,155620350
The Illusionist,2006,110,7.5,387767,Neil Burger,16500000,83792062
The Sentinel,2006,108,6.1,52008,Clark Johnson,60000000,78080697
Invincible,2006,105,7,74847,Ericson Core,40000000,58501127
Take the Lead,2006,118,6.6,26555,Liz Friedlander,30000000,65390493
Driving Lessons,2006,98,6.6,11009,Jeremy Brock,4700000,239962
The Painted Veil,2006,125,7.4,95628,John Curran,19400000,15118795
The Night Listener,2006,91,5.9,15937,Patrick Stettner,4000000,10770993
Eragon,2006,104,5.1,129874,Stefen Fangmeier,100000000,249488115
Little Miss Sunshine,2006,101,7.8,512830,"Jonathan Dayton, Valerie Faris",8000000,100642353
Babel,2006,143,7.5,315647,Alejandro G. Iñárritu,20000000,132121212
Kabhi Alvida Naa Kehna,2006,193,6,21568,Karan Johar,10750000,32575443
16 Blocks,2006,102,6.6,134284,Richard Donner,45000000,65595141
Blood Diamond,2006,143,8,580652,Edward Zwick,100000000,171377916
Unknown,2006,85,6.4,31306,Simon Brand,3700000,3355048
The Break-Up,2006,106,5.8,138106,Peyton Reed,52000000,205727307
The Good German,2006,105,6,25982,Steven Soderbergh,32000000,6678033
Lady in the Water,2006,110,5.5,103206,M. Night Shyamalan,75000000,72785169
Hoot,2006,95,5.5,8754,Wil Shriner,15000000,8224998
Black Christmas,2006,95,4.7,30429,Glen Morgan,9000000,16235738
Flyboys,2006,140,6.5,44145,Tony Bill,60000000,14816379
The Hills Have Eyes,2006,107,6.4,181804,Alexandre Aja,17000000,70355813
Inside Man,2006,129,7.6,394080,Spike Lee,50000000,185798265
Pulse,2006,90,4.7,30569,Jim Sonzero,20500000,30241435
The Pursuit of Happyness,2006,117,8,553919,Gabriele Muccino,55000000,307311093
Turistas,2006,93,5.4,40558,John Stockwell,10000000,14321070
Let's Go to Prison,2006,84,5.9,26383,Bob Odenkirk,4000000,4630045
Garfield: A Tail of Two Kitties,2006,82,5,46573,Tim Hill,60000000,147985373
The Last King of Scotland,2006,123,7.6,194882,Kevin Macdonald,6000000,49155371
Madea's Family Reunion,2006,107,5.3,11948,Tyler Perry,10000000,63320521
When a Stranger Calls,2006,87,5.1,48290,Simon West,15000000,67215435
Lage Raho Munna Bhai,2006,144,8,49625,Rajkumar Hirani,2700000,31517561
Nacho Libre,2006,92,5.9,93119,Jared Hess,32000000,99296462
Scoop,2006,96,6.6,87118,Woody Allen,4000000,40103262
The Holiday,2006,136,6.9,319892,Nancy Meyers,85000000,204920447
The Devil Wears Prada,2006,109,6.9,455761,David Frankel,35000000,326073155
Larry the Cable Guy: Health Inspector,2006,89,3.4,12450,Trent Cooper,17000000,15680099
School for Scoundrels,2006,100,5.9,30478,Todd Phillips,20000000,17807569
Step Up,2006,104,6.5,125887,Anne Fletcher,12000000,110989157
"You, Me and Dupree",2006,110,5.6,83830,"Anthony Russo, Joe Russo",54000000,130402010
The Fast and the Furious: Tokyo Drift,2006,104,6,296094,Justin Lin,85000000,157794205
The History Boys,2006,109,6.8,21361,Nicholas Hytner,3700000,13447998
American Dreamz,2006,107,5.5,25172,Paul Weitz,17000000,16510971
Notes on a Scandal,2006,92,7.4,83876,Richard Eyre,27500000,50578411
My Super Ex-Girlfriend,2006,96,5.2,66699,Ivan Reitman,30000000,60772856
Date Movie,2006,83,2.8,61897,"Aaron Seltzer, Jason Friedberg",20000000,85146165
ATL,2006,105,6.1,12154,Chris Robinson,17000000,21170563
The Omen,2006,110,5.5,62000,John Moore,25000000,119295584
Half Nelson,2006,106,7.1,91217,Ryan Fleck,700000,4911725
Old Joy,2006,76,6.8,8716,Kelly Reichardt,300000,399908
World Trade Center,2006,129,6,87432,Oliver Stone,65000000,163295654
For Your Consideration,2006,86,6.3,15790,Christopher Guest,12000000,5549923
Apocalypto,2006,139,7.8,328308,Mel Gibson,40000000,121032272
Crossover,2006,95,2.2,9438,Preston A. Whitmore II,5600000,7009668
United 93,2006,111,7.6,110461,Paul Greengrass,18000000,77635035
The Covenant,2006,97,5.2,51803,Renny Harlin,20000000,38164784
Night at the Museum,2006,108,6.5,373353,Shawn Levy,110000000,579446407
Rocky Balboa,2006,102,7.1,230008,Sylvester Stallone,24000000,156229050
Crank,2006,88,6.9,261770,"Brian Taylor, Mark Neveldine",12000000,43924923
Miss Potter,2006,88,7,31579,Chris Noonan,30000000,35891257
The Prestige,2006,130,8.5,1423635,Christopher Nolan,40000000,104407366
Man of the Year,2006,115,6.2,34914,Barry Levinson,20000000,41342180
Beerfest,2006,110,6.2,71094,Jay Chandrasekhar,17500000,20159316
Unaccompanied Minors,2006,90,5.3,12383,Paul Feig,25000000,21970831
Who Killed the Electric Car?,2006,92,7.6,12733,Chris Paine,1000000,1849392
Saw III,2006,108,6.2,210505,Darren Lynn Bousman,10000000,163876815
Venus,2006,95,7.1,13370,Roger Michell,6000000,7818479
Phat Girlz,2006,99,3.3,9390,Nnegest Likké,3000000,7301115
An Inconvenient Truth,2006,96,7.4,84970,Davis Guggenheim,1000000,53365925
Letters from Iwo Jima,2006,141,7.8,169136,Clint Eastwood,13000000,67867998
We Are Marshall,2006,131,7,64508,McG,65000000,43545364
The Nativity Story,2006,101,6.8,12315,Catherine Hardwicke,35000000,46309644
Doogal,2006,85,2.8,5371,"Dave Borthwick, Jean Duval, Frank Passingham",20000000,28058652
The Dead Girl,2006,85,6.6,16086,Karen Moncrieff,3300000,19875
Deck the Halls,2006,93,5,33026,John Whitesell,51000000,46815807
Facing the Giants,2006,111,6.5,17908,Alex Kendrick,100000,10243159
Awake,2007,84,6.5,80051,Joby Harold,8600000,32968648
Ghost Rider,2007,110,5.3,250458,Mark Steven Johnson,120000000,229545589
Brooklyn Rules,2007,99,6.3,5942,Michael Corrente,8000000,458232
Rush Hour 3,2007,91,6.2,181505,Brett Ratner,180000000,256585882
Live Free or Die Hard,2007,128,7.1,419081,Len Wiseman,110000000,382288147
Lucky You,2007,124,5.9,21121,Curtis Hanson,55000000,6521829
Hannibal Rising,2007,121,6.1,115149,Peter Webber,50000000,80583311
Dragon Wars: D-War,2007,107,3.5,25288,Hyung-rae Shim,32000000,79915361
Halloween,2007,109,6,129831,Rob Zombie,15000000,77514401
Harry Potter and the Order of the Phoenix,2007,138,7.5,626140,David Yates,150000000,939619849
3:10 to Yuma,2007,122,7.6,328804,James Mangold,48000000,71171825
Ratatouille,2007,111,8.1,810529,"Jan Pinkava, Brad Bird",150000000,626549695
The Golden Compass,2007,113,6.1,195949,Chris Weitz,205000000,367262558
Sicko,2007,123,8,76673,Michael Moore,9000000,36535837
King of California,2007,93,6.6,23559,M. Cahill,10000000,1165102
30 Days of Night,2007,113,6.6,187868,David Slade,30000000,80276156
Bee Movie,2007,91,6.1,177567,"Simon J. Smith, Steve Hickner",150000000,287594577
Blood and Chocolate,2007,98,5.3,18230,Katja von Garnier,15000000,6551310
Bridge to Terabithia,2007,96,7.2,170865,Gabor Csupo,25000000,137984788
Trade,2007,120,7.3,17877,Marco Kreuzpaintner,12000000,1513388
Evan Almighty,2007,96,5.4,154129,Tom Shadyac,175000000,174131329
Shrek the Third,2007,93,6.1,329030,"Chris Miller, Raman Hui",160000000,807330936
Spider-Man 3,2007,139,6.3,630327,Sam Raimi,258000000,894860230
Elizabeth: The Golden Age,2007,114,6.8,74678,Shekhar Kapur,55000000,74870866
Martian Child,2007,106,6.7,20893,Menno Meyjes,27000000,9352089
Resurrecting the Champ,2007,112,6.7,21243,Rod Lurie,13000000,3260555
Becoming Jane,2007,120,7,64693,Julian Jarrold,16500000,39380831
Transformers,2007,144,7,670035,Michael Bay,151000000,708272592
In the Land of Women,2007,97,6.4,32559,Jonathan Kasdan,10500000,14140402
The Kite Runner,2007,128,7.6,82305,Marc Forster,20000000,74180745
Control,2007,122,7.6,68158,Anton Corbijn,6400000,8902141
Hot Fuzz,2007,121,7.8,531142,Edgar Wright,16000000,80695830
The Messengers,2007,90,5.3,41039,"Danny Pang, Oxide Chun Pang",16000000,53774833
August Rush,2007,114,7.4,110665,Kirsten Sheridan,25000000,64605762
The Great Debaters,2007,126,7.5,62073,Denzel Washington,15000000,30261293
Hairspray,2007,117,6.7,137657,Adam Shankman,75000000,202822861
The Invasion,2007,99,5.9,82122,Oliver Hirschbiegel,80000000,40147042
The Kingdom,2007,110,7,131670,Peter Berg,72500000,86802457
Resident Evil: Extinction,2007,94,6.2,204092,Russell Mulcahy,45000000,149871103
Next,2007,96,6.2,165248,Lee Tamahori,70000000,73591500
Goodbye Bafana,2007,118,7.1,12205,Bille August,30000000,2717302
The Bourne Ultimatum,2007,115,8,654874,Paul Greengrass,130000000,444043396
Gracie,2007,95,6.2,4316,Davis Guggenheim,9000000,3922043
Beowulf,2007,115,6.3,173311,Robert Zemeckis,150000000,195080579
Zodiac,2007,157,7.7,589692,David Fincher,85000000,83027938
The Reaping,2007,99,5.6,44466,Stephen Hopkins,40000000,62226214
Across the Universe,2007,133,7.3,113817,Julie Taymor,45000000,29367143
Blades of Glory,2007,93,6.3,176511,"Josh Gordon, Will Speck",61000000,145594548
Sunshine,2007,107,7.2,264833,Danny Boyle,40000000,32030610
1408,2007,104,6.8,291512,Mikael Håfström,22500000,131263370
Gone Baby Gone,2007,114,7.6,289730,Ben Affleck,19000000,34359030
Good Luck Chuck,2007,101,5.6,93910,Mark Helfrich,25000000,60709968
TMNT,2007,87,6.2,68811,Kevin Munroe,35000000,96096018
Dead Silence,2007,89,6.1,101007,James Wan,20000000,20614661
The Hunting Party,2007,101,6.8,25938,Richard Shepard,40000000,7729552
Enchanted,2007,107,7.1,215727,Kevin Lima,85000000,340384141
Code Name: The Cleaner,2007,84,4.6,12117,Les Mayfield,20000000,8135024
Daddy Day Camp,2007,89,3.2,17849,Fred Savage,6000000,18209872
Grindhouse,2007,191,7.5,190269,"Robert Rodriguez, Eli Roth, Quentin Tarantino, Edgar Wright, Rob Zombie",53000000,50187789
The Last Legion,2007,101,5.4,36970,Doug Lefler,67000000,25357771
The Simpsons Movie,2007,87,7.3,347417,David Silverman,72500000,527071022
28 Weeks Later,2007,100,6.9,291007,Juan Carlos Fresnadillo,15000000,64232714
Freedom Writers,2007,123,7.6,84359,Richard LaGravenese,21000000,43632609
Hitman,2007,94,6.2,176869,Xavier Gens,24000000,99135571
Michael Clayton,2007,119,7.2,173051,Tony Gilroy,21500000,92987651
Shoot 'Em Up,2007,86,6.6,154426,Michael Davis,39000000,26796824
Juno,2007,96,7.5,545485,Jason Reitman,7000000,231450102
There Will Be Blood,2007,158,8.2,634130,Paul Thomas Anderson,25000000,77208672
Things We Lost in the Fire,2007,118,7.1,29673,Susanne Bier,16000000,8120148
Waitress,2007,108,7,48590,Adrienne Shelly,1500000,22217183
The Brave One,2007,122,6.7,62973,Neil Jordan,70000000,69792704
Premonition,2007,96,5.9,81238,Mennan Yapo,20000000,84146832
No Country for Old Men,2007,122,8.2,1045290,"Ethan Coen, Joel Coen",25000000,164035753
In the Valley of Elah,2007,121,7.2,74814,Paul Haggis,23000000,24489150
Knocked Up,2007,129,6.9,382347,Judd Apatow,27500000,219265952
Nancy Drew,2007,99,5.9,21433,Andrew Fleming,20000000,30703845
No Reservations,2007,104,6.3,78081,Scott Hicks,28000000,91943956
The Number 23,2007,98,6.4,211427,Joel Schumacher,32000000,77593167
The Good Night,2007,93,5.7,8718,Jake Paltrow,15000000,22441
Love in the Time of Cholera,2007,139,6.4,24007,Mike Newell,45000000,31077418
Fantastic Four: Rise of the Silver Surfer,2007,92,5.6,275773,Tim Story,120000000,289480691
Stardust,2007,127,7.6,283231,Matthew Vaughn,70000000,137022245
Disturbia,2007,105,6.8,246237,D.J. Caruso,20000000,118537627
Wild Hogs,2007,100,5.8,122837,Walt Becker,60000000,253555383
Because I Said So,2007,102,5.6,39989,Michael Lehmann,39000000,69538833
Reign Over Me,2007,124,7.4,99232,Mike Binder,20000000,20081987
The Game Plan,2007,110,6.4,99682,Andy Fickman,22000000,146590987
Ocean's Thirteen,2007,122,6.9,364593,Steven Soderbergh,85000000,311744465
Hostel: Part II,2007,94,5.5,95248,Eli Roth,7500000,33606409
We Own the Night,2007,117,6.8,92224,James Gray,28000000,55307857
Reno 911!: Miami,2007,80,5.9,27831,Robert Ben Garant,10000000,21851362
War,2007,103,6.2,96135,Philip G. Atwell,25000000,40686409
Into the Wild,2007,148,8.1,652655,Sean Penn,20000000,56822960
Music and Lyrics,2007,104,6.5,106767,Marc Lawrence,40000000,146196885
License to Wed,2007,91,5.2,40484,Ken Kwapis,35000000,70187088
American Gangster,2007,157,7.8,448899,Ridley Scott,100000000,267985456
Eastern Promises,2007,100,7.6,258422,David Cronenberg,50000000,56077088
Evening,2007,117,6.4,14007,Lajos Koltai,30000000,12885574
I Think I Love My Wife,2007,94,5.5,17502,Chris Rock,14000000,13205411
The Savages,2007,114,7.1,38499,Tamara Jenkins,9000000,10642023
Stomp the Yard,2007,115,5.4,26350,Sylvain White,14000000,75525718
Atonement,2007,123,7.8,296784,Joe Wright,30000000,129779728
The Brothers Solomon,2007,93,5.3,11437,Bob Odenkirk,10000000,900926
Who's Your Caddy?,2007,93,2.3,15498,Don Michael Paul,7000000,5694308
Hot Rod,2007,88,6.7,92640,Akiva Schaffer,25000000,14371564
Georgia Rule,2007,113,5.9,26372,Garry Marshall,20000000,20819601
Death at a Funeral,2007,90,7.3,120241,Frank Oz,20000000,47289148
Namastey London,2007,128,7.1,22778,Vipul Amrutlal Shah,8400000,6831069
Molière,2007,120,7.1,6548,Laurent Tirard,21600000,791154
You Kill Me,2007,93,6.4,18918,John Dahl,4000000,3858964
Epic Movie,2007,86,2.4,109093,"Aaron Seltzer, Jason Friedberg",20000000,86858578
Death Sentence,2007,105,6.7,74500,James Wan,20000000,16907831
Rendition,2007,122,6.8,57986,Gavin Hood,27500000,26939925
Lars and the Real Girl,2007,106,7.3,153969,Craig Gillespie,12500000,11277119
Persepolis,2007,96,8,99415,"Vincent Paronnaud, Marjane Satrapi",7300000,25397187
The Ten,2007,96,4.9,16934,David Wain,5250000,786677
Sydney White,2007,108,6.2,50771,Joe Nussbaum,16500000,13636339
Shooter,2007,124,7.1,352347,Antoine Fuqua,60000000,95538560
The Bucket List,2007,97,7.4,257962,Rob Reiner,45000000,174807445
A Mighty Heart,2007,108,6.6,28166,Michael Winterbottom,15000000,19153568
Superbad,2007,113,7.6,625116,Greg Mottola,17500000,169955142
Ta Ra Rum Pum,2007,153,5.7,5490,Siddharth Anand,7400000,9443864
Walk Hard: The Dewey Cox Story,2007,96,6.8,76751,Jake Kasdan,35000000,20606053
Timber Falls,2007,100,5.2,6408,Tony Giglio,2600000,71248
The Mist,2007,126,7.1,336098,Frank Darabont,13000000,57189408
Blonde Ambition,2007,93,3.9,6154,Scott Marshall,10000000,1537479
Saw IV,2007,93,5.9,163434,Darren Lynn Bousman,10000000,135759694
Lions for Lambs,2007,92,6.2,52282,Robert Redford,35000000,63211088
Why Did I Get Married?,2007,113,5.9,13707,Tyler Perry,15000000,55934178
Once,2007,86,7.8,120718,John Carney,150000,23151269
In the Shadow of the Moon,2007,100,8,6889,David Sington,2000000,2175587
Redacted,2007,90,6.1,11206,Brian De Palma,5000000,861325
This Christmas,2007,119,6.4,10419,Preston A. Whitmore II,13000000,49733545
Alvin and the Chipmunks,2007,92,5.2,93654,Tim Hill,55000000,362605033
Shotgun Stories,2007,92,7.1,11177,Jeff Nichols,250000,284174
The Bank Job,2008,111,7.2,188237,Roger Donaldson,20000000,66143005
Babylon A.D.,2008,90,5.5,98213,Mathieu Kassovitz,45000000,70216497
Indiana Jones and the Kingdom of the Crystal Skull,2008,122,6.2,488208,Steven Spielberg,185000000,786635413
Four Christmases,2008,88,5.7,80540,Seth Gordon,80000000,168311558
Iron Man,2008,126,7.9,1114075,Jon Favreau,186000000,585171547
Journey to the Center of the Earth,2008,93,5.8,130655,Eric Brevig,45000000,243180937
Leatherheads,2008,114,6,33226,George Clooney,58000000,41348628
"Synecdoche, New York",2008,124,7.5,97421,Charlie Kaufman,20000000,4383538
Bolt,2008,96,6.8,226492,"Chris Williams, Byron Howard",150000000,328015029
The Eye,2008,98,5.4,55887,"David Moreau, Xavier Palud",12000000,57577765
Nim's Island,2008,96,6,36694,"Jennifer Flackett, Mark Levin",37000000,101857425
Hellboy II: The Golden Army,2008,120,7,284133,Guillermo del Toro,82500000,160388063
The Secret Life of Bees,2008,114,7.2,27710,Gina Prince-Bythewood,11000000,39994347
The Spiderwick Chronicles,2008,96,6.5,101786,Mark Waters,92500000,162839667
The Tale of Despereaux,2008,93,6.1,39731,"Sam Fell, Robert Stevenhagen",60000000,90482317
Street Kings,2008,109,6.8,120028,David Ayer,20000000,65457811
The Curious Case of Benjamin Button,2008,166,7.8,689384,David Fincher,160000000,329631958
Get Smart,2008,110,6.5,227334,Peter Segal,80000000,226739416
Superhero Movie,2008,75,4.7,74616,Craig Mazin,35000000,73026302
The Women,2008,114,5,22870,Diane English,16000000,50103808
Role Models,2008,99,6.8,239828,David Wain,28000000,94500826
Good,2008,92,6.1,7775,Vicente Amorim,16000000,31631
Kung Fu Panda,2008,92,7.6,510855,"Mark Osborne, John Stevenson",130000000,631910531
Vantage Point,2008,90,6.6,153634,Pete Travis,40000000,150886329
Hancock,2008,92,6.4,507797,Peter Berg,150000000,624234272
Punisher: War Zone,2008,103,5.9,66712,Lexi Alexander,35000000,10157534
Death Race,2008,105,6.4,217624,Paul W.S. Anderson,65000000,72516819
How to Lose Friends & Alienate People,2008,110,6.4,70750,Robert B. Weide,28000000,12031443
Australia,2008,165,6.6,129201,Baz Luhrmann,130000000,215080810
Rambo,2008,92,7,242976,Sylvester Stallone,47500000,113244290
Igor,2008,87,5.9,24228,Tony Leondis,22000000,31013349
Max Payne,2008,100,5.3,129677,John Moore,35000000,87775050
The Other Boleyn Girl,2008,115,6.7,119179,Justin Chadwick,40000000,78269970
The Dark Knight,2008,152,9,2835230,Christopher Nolan,185000000,999240028
The Express,2008,130,7.2,22747,Gary Fleder,37500000,9813309
August,2008,88,5.3,4311,Austin Chick,3400000,12636
21,2008,123,6.8,264757,Robert Luketic,35000000,159846429
Madagascar: Escape 2 Africa,2008,89,6.6,244675,"Eric Darnell, Tom McGrath",150000000,599680774
One Missed Call,2008,87,4,33885,Eric Valette,20000000,44513466
Harold & Kumar Escape from Guantanamo Bay,2008,114,6.5,141423,"Jon Hurwitz, Hayden Schlossberg",12000000,43353117
Pride and Glory,2008,130,6.6,62835,Gavin O'Connor,30000000,32262866
Shutter,2008,85,5.2,37357,Masayuki Ochiai,8000000,47782426
Space Chimps,2008,81,4.5,12401,"Kirk DeMicco, Priit Pärn",37000000,67029956
The Strangers,2008,86,6.1,141687,Bryan Bertino,9000000,83051676
Doomsday,2008,113,5.9,79469,Neil Marshall,33000000,21621188
American Teen,2008,95,6.4,4225,Nanette Burstein,5000000,989319
What Just Happened,2008,104,5.6,28408,Barry Levinson,27000000,2412123
Jumper,2008,88,6.1,321299,Doug Liman,82500000,222640812
Stop-Loss,2008,112,6.4,20819,Kimberly Peirce,25000000,11229035
Strange Wilderness,2008,87,5.2,22662,Fred Wolf,20000000,6947084
Wanted,2008,110,6.7,406008,Timur Bekmambetov,75000000,342416460
Vicky Cristina Barcelona,2008,96,7.1,267371,Woody Allen,16000000,104504817
The Chronicles of Narnia: Prince Caspian,2008,150,6.5,223570,Andrew Adamson,225000000,417341288
Body of Lies,2008,128,7,238161,Ridley Scott,67500000,118556530
Meet Dave,2008,90,5.1,43424,Brian Robbins,60000000,50648806
In Bruges,2008,107,7.9,457785,Martin McDonagh,15000000,34527095
Over Her Dead Body,2008,95,5.3,25473,Jeff Lowell,10000000,21596074
Mirrors,2008,110,6.1,113101,Alexandre Aja,35000000,77220596
Mamma Mia!,2008,108,6.5,270076,Phyllida Lloyd,52000000,586265197
Winter in Wartime,2008,103,7,13460,Martin Koolhoven,5800000,9662214
Be Kind Rewind,2008,102,6.4,93820,Michel Gondry,20000000,30894247
