primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,Production Budget,Worldwide Gross
Saving Grace,2000,93,6.9,19228,Nigel Cole,4000000,27786849
Erin Brockovich,2000,131,7.4,217517,Steven Soderbergh,50000000,257805243
Final Destination,2000,98,6.7,276447,James Wong,23000000,112036870
Here on Earth,2000,96,5.2,8853,Mark Piznarski,15000000,10845127
Next Friday,2000,98,6.1,43698,Steve Carr,9500000,59675307
Small Time Crooks,2000,94,6.6,40353,Woody Allen,18000000,29934477
Where the Heart Is,2000,120,6.7,36160,Matt Williams,15000000,40862054
The Crew,2000,88,5.6,6665,Michael Dinner,23000000,13019253
Love & Basketball,2000,124,7.2,23796,Gina Prince-Bythewood,15000000,27709625
Red Planet,2000,106,5.7,59698,Antony Hoffman,80000000,33463969
Coyote Ugly,2000,100,5.7,120216,David McNally,45000000,113916474
The House of Mirth,2000,135,7,8035,Terence Davies,10000000,5149131
The Way of the Gun,2000,119,6.6,35036,Christopher McQuarrie,9000000,13061935
Men of Honor,2000,129,7.2,124226,George Tillman Jr.,32000000,82339483
You Can Count on Me,2000,111,7.5,31205,Kenneth Lonergan,1200000,10827356
Boys and Girls,2000,94,5.4,17521,Robert Iscove,16000000,21799652
The Watcher,2000,97,5.3,28328,Joe Charbanic,33000000,47267829
Thomas and the Magic Railroad,2000,85,4.2,4722,Britt Allcroft,19000000,15911332
Psycho Beach Party,2000,95,6,6544,Robert Lee King,4000000,267972
Woman on Top,2000,92,5.3,10881,Fina Torres,8000000,10192613
What Women Want,2000,127,6.4,220235,Nancy Meyers,65000000,374105123
Big Momma's House,2000,99,5.2,90169,Raja Gosnell,33000000,173559438
Snatch,2000,104,8.2,900724,Guy Ritchie,10000000,83593107
The Contender,2000,126,6.9,24902,Rod Lurie,9000000,17804273
Get Carter,2000,102,5.1,36373,Stephen Kay,40000000,19417182
The Cell,2000,107,6.4,108250,Tarsem Singh,35000000,104102747
Center Stage,2000,115,6.7,22672,Nicholas Hytner,18000000,21361109
Remember the Titans,2000,113,7.8,229849,Boaz Yakin,30000000,136771683
102 Dalmatians,2000,100,4.8,39369,"Michael D Moore, Kevin Lima",85000000,66941559
Bait,2000,119,5.7,13113,Antoine Fuqua,35000000,15471969
Meet the Parents,2000,108,7,352479,Jay Roach,55000000,330425040
Miss Congeniality,2000,109,6.3,227926,Donald Petrie,45000000,213420951
Groove,2000,86,6.6,4500,Greg Harrison,500000,1167524
Rugrats in Paris,2000,78,6.2,13512,"Stig Bergqvist, Paul Demeyer",30000000,103284813
The Ladies Man,2000,84,5.2,13736,Reginald Hudlin,11000000,13719474
Road Trip,2000,93,6.5,176954,Todd Phillips,16000000,119739110
Bamboozled,2000,135,6.7,12229,Spike Lee,10000000,2373937
The 6th Day,2000,123,5.9,127244,Roger Spottiswoode,82000000,96024898
Loser,2000,98,5.3,30226,Amy Heckerling,20000000,18250106
Ready to Rumble,2000,107,5.3,15208,Brian Robbins,24000000,12372410
Unbreakable,2000,106,7.3,437700,M. Night Shyamalan,73243106,248099143
The Claim,2000,120,6.3,6586,Michael Winterbottom,13000000,1375635
Best in Show,2000,90,7.4,66325,Christopher Guest,6000000,20695413
