primaryTitle,startYear,runtimeMinutes
Chocolat,2000,121
Alai Payuthey,2000,156
"Dude, Where's My Car?",2000,83
Hera Pheri,2000,156
Come Undone,2000,100
Pellet,2000,88
Italian for Beginners,2000,112
Yi Yi: A One and a Two...,2000,173
Spiral,2000,90
The Bench,2000,93
Amores Perros,2000,154
Devils on the Doorstep,2000,139
Before Night Falls,2000,133
The Gleaners & I,2000,82
Nine Queens,2000,114
Fiza,2000,170
Mission Kashmir,2000,154
Werckmeister Harmonies,2000,145
Baise-moi,2000,77
Billy Elliot,2000,110
Har Dil Jo Pyar Karega...,2000,173
Nico and Dani,2000,91
Time and Tide,2000,113
Ask Me If I'm Happy,2000,100
Common Wealth,2000,110
The Circle,2000,90
Dhadkan,2000,161
The Isle,2000,90
A Time for Drunken Horses,2000,80
Digimon: The Movie,2000,82
Joint Security Area,2000,110
George Washington,2000,89
Brainstorm,2000,74
Battle Royale,2000,114
Jalla! Jalla!,2000,88
Barking Dogs Never Bite,2000,110
Our Lips Are Sealed,2000,89
A Dog's Will,2000,104
Blood: The Last Vampire,2000,48
Versus,2000,119
Il Mare,2000,105
Titanic: The Legend Goes On...,2000,90
Kushi,2000,178
