primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,ProductionBudget,WorldwideGross
Man of the House,2005,100,5.4,24493,Stephen Herek,50000000,22099706
Fever Pitch,2005,104,6.2,46159,"Peter Farrelly, Bobby Farrelly",40000000,50071069
Shopgirl,2005,106,6.3,24306,Anand Tucker,7500000,11758418
Hostage,2005,113,6.5,111886,Florent-Emilio Siri,75000000,77636443
Dear Wendy,2005,105,6.5,10309,Thomas Vinterberg,8000000,446438
Waiting...,2005,94,6.7,101025,Rob McKittrick,1125000,18673274
An Unfinished Life,2005,108,7,32017,Lasse Hallström,30000000,18535575
Madagascar,2005,86,6.9,414189,"Eric Darnell, Tom McGrath",75000000,556559566
Cinderella Man,2005,144,8,191302,Ron Howard,88000000,105021488
The Brothers Grimm,2005,118,5.9,123391,Terry Gilliam,80000000,105299638
Lords of Dogtown,2005,107,7.1,56354,Catherine Hardwicke,25000000,13424365
The Family Stone,2005,103,6.3,70619,Thomas Bezucha,18000000,92357499
The Ballad of Jack and Rose,2005,112,6.5,11864,Rebecca Miller,1500000,1126258
Elektra,2005,97,4.7,94874,Rob Bowman,65000000,56824633
Boogeyman,2005,89,4.2,31678,Stephen Kay,20000000,67192859
Robots,2005,91,6.4,152538,"Chris Wedge, Carlos Saldanha",80000000,260636271
Walk the Line,2005,136,7.8,255952,James Mangold,29000000,187707495
Constantine,2005,121,7,355066,Francis Lawrence,75000000,221593554
King Kong,2005,187,7.2,430941,Peter Jackson,207000000,550517357
Valiant,2005,76,5.5,23551,Gary Chapman,35000000,64188387
Duma,2005,100,7.2,8371,Carroll Ballard,12000000,994790
Son of the Mask,2005,94,2.2,57361,Lawrence Guterman,100000000,59918422
The Matador,2005,96,6.7,45521,Richard Shepard,10000000,17300838
Syriana,2005,128,6.9,131948,Stephen Gaghan,50000000,92690959
The Upside of Anger,2005,118,6.8,22453,Mike Binder,12000000,28915761
The Jacket,2005,103,7.1,115893,John Maybury,28500000,15452978
The Squid and the Whale,2005,81,7.3,84772,Noah Baumbach,1500000,11191423
Charlie and the Chocolate Factory,2005,115,6.7,493120,Tim Burton,150000000,475825484
Deuce Bigalow: European Gigolo,2005,83,4.7,51915,Mike Bigelow,22000000,45273464
Are We There Yet?,2005,95,4.7,33199,Brian Levant,20000000,98114471
Elizabethtown,2005,123,6.3,71252,Cameron Crowe,54000000,50719373
Alone in the Dark,2005,99,2.4,46037,Uwe Boll,20000000,10588079
Monster-in-Law,2005,101,5.5,63254,Robert Luketic,45000000,155931301
Chicken Little,2005,81,5.7,95748,Mark Dindal,150000000,310043823
The Hitchhiker's Guide to the Galaxy,2005,109,6.7,201890,Garth Jennings,45000000,102746214
Guess Who,2005,105,5.9,44057,Kevin Rodney Sullivan,35000000,102115888
The Wedding Date,2005,90,6.1,53837,Clare Kilner,15000000,47175038
Batman Begins,2005,140,8.2,1492489,Christopher Nolan,150000000,358858124
Underclassman,2005,95,4.3,5877,Marcos Siega,25000000,5654777
Where the Truth Lies,2005,107,6.4,18368,Atom Egoyan,25000000,1415656
The Honeymooners,2005,90,3.4,7470,John Schultz,27000000,13174426
The Interpreter,2005,128,6.4,108884,Sydney Pollack,90000000,162753837
Bewitched,2005,102,4.8,73584,Nora Ephron,80000000,131159306
White Noise,2005,101,5.5,49785,Geoffrey Sax,10000000,92094360
Racing Stripes,2005,102,5.2,17631,Frederik Du Chau,30000000,89809433
Rebound,2005,86,5.1,13311,Steve Carr,45000000,17492014
Proof,2005,100,6.7,45391,John Madden,20000000,8284331
The Ring Two,2005,110,5.4,98047,Hideo Nakata,50000000,161941727
Be Cool,2005,118,5.6,70752,F. Gary Gray,75000000,94944017
The Dukes of Hazzard,2005,104,5.1,80163,Jay Chandrasekhar,53000000,109848461
Into the Blue,2005,110,5.9,77755,John Stockwell,50000000,41982227
Capote,2005,114,7.3,135918,Bennett Miller,7000000,49924079
Serenity,2005,119,7.8,299245,Joss Whedon,39000000,40319440
Oliver Twist,2005,130,6.8,33455,Roman Polanski,65000000,26670920
The Perfect Man,2005,100,5.4,31132,Mark Rosman,10000000,19535005
Hide and Seek,2005,101,5.9,86718,John Polson,25000000,123696741
Dark Water,2005,105,5.6,63947,Walter Salles,60000000,49473093
Stealth,2005,121,5.1,54995,Rob Cohen,138000000,76416746
Cry Wolf,2005,90,5.8,27888,Jeff Wadlow,1000000,15943081
The Weather Man,2005,102,6.6,81538,Gore Verbinski,20000000,15466961
The White Countess,2005,135,6.5,6787,James Ivory,16000000,2814566
The Amityville Horror,2005,90,5.9,114042,Andrew Douglas,18500000,109175673
The Legend of Zorro,2005,129,5.9,104235,Martin Campbell,80000000,141475336
Hitch,2005,118,6.6,323317,Andy Tennant,55000000,366784257
The Constant Gardener,2005,129,7.4,144294,Fernando Meirelles,25500000,86301599
Beauty Shop,2005,105,5.6,17885,Bille Woodruff,25000000,38351350
Brokeback Mountain,2005,134,7.7,365359,Ang Lee,13900000,176980863
The Greatest Game Ever Played,2005,120,7.4,31765,Bill Paxton,25000000,15468266
A Lot Like Love,2005,107,6.6,70119,Nigel Cole,25000000,41921590
Coach Carter,2005,136,7.3,157413,Thomas Carter,45000000,76665507
The Pacifier,2005,95,5.6,96927,Adam Shankman,56000000,198006880
North Country,2005,126,7.3,43680,Niki Caro,30000000,23676771
Wedding Crashers,2005,119,7,363114,David Dobkin,40000000,283218368
Ice Princess,2005,98,6,27925,Tim Fywell,25000000,25732334
House of Wax,2005,113,5.4,128025,Jaume Collet-Serra,35000000,70064800
The Skeleton Key,2005,104,6.5,118174,Iain Softley,40000000,92256918
Memoirs of a Geisha,2005,145,7.3,153810,Rob Marshall,85000000,161510853
Derailed,2005,108,6.6,74802,Mikael Håfström,22000000,57520063
The Longest Yard,2005,113,6.4,185050,Peter Segal,82000000,191558505
A History of Violence,2005,96,7.4,243432,David Cronenberg,32000000,61477797
The Island,2005,136,6.8,320050,Michael Bay,120000000,163018913
Lord of War,2005,122,7.6,324140,Andrew Niccol,42000000,60437727
The Man,2005,83,5.5,26119,Les Mayfield,20000000,10393696
Sin City,2005,124,8,776618,"Robert Rodriguez, Quentin Tarantino, Frank Miller",40000000,158527918
The Dark Hours,2005,80,6,5489,Paul Fox,400000,423
The New World,2005,135,6.7,87674,Terrence Malick,30000000,26184400
The Cave,2005,97,5.1,39945,Bruce Hunt,30000000,27147991
Supercross,2005,80,4.3,4764,Steve Boyum,30000000,3252550
Roll Bounce,2005,112,6.2,7549,Malcolm D. Lee,10000000,17433072
The Sisterhood of the Traveling Pants,2005,119,6.5,62422,Ken Kwapis,25000000,41560117
The Exorcism of Emily Rose,2005,119,6.7,133351,Scott Derrickson,18000000,144529078
Sky High,2005,100,6.3,89933,Mike Mitchell,35000000,83109359
The Chumscrubber,2005,108,6.9,18833,Arie Posin,6800000,49526
Pooh's Heffalump Movie,2005,68,6.4,7917,Frank Nissen,20000000,55686944
War of the Worlds,2005,116,6.5,457308,Steven Spielberg,132000000,606836535
Munich,2005,164,7.5,231110,Steven Spielberg,75000000,131492772
Flightplan,2005,98,6.3,165773,Robert Schwentke,55000000,214392904
Hustle & Flow,2005,116,7.3,41601,Craig Brewer,2800000,23591783
Broken Flowers,2005,106,7.2,104446,Jim Jarmusch,10000000,40744960
The World's Fastest Indian,2005,127,7.8,56197,Roger Donaldson,25000000,18991288
Mrs. Henderson Presents,2005,103,7,16002,Stephen Frears,20000000,27836366
Pride & Prejudice,2005,129,7.8,305180,Joe Wright,28000000,126549607
Me and You and Everyone We Know,2005,91,7.2,36836,Miranda July,2000000,9615464
Wolf Creek,2005,99,6.2,74916,Greg McLean,1100000,29005064
Match Point,2005,124,7.6,221551,Woody Allen,15000000,87950928
Must Love Dogs,2005,98,5.9,32377,Gary David Goldberg,35000000,58405313
Inside Deep Throat,2005,89,6.7,6914,"Fenton Bailey, Randy Barbato",2000000,691880
Jarhead,2005,125,7,194600,Sam Mendes,72000000,96947540
Junebug,2005,106,6.9,23117,Phil Morrison,1000000,3553253
Doom,2005,105,5.2,115526,Andrzej Bartkowiak,70000000,58757178
Domino,2005,127,5.9,68129,Tony Scott,50000000,23574057
Red Eye,2005,85,6.5,126540,Wes Craven,26000000,96666486
Diary of a Mad Black Woman,2005,116,5.7,15198,Darren Grant,5500000,50458356
Just Like Heaven,2005,95,6.7,113322,Mark Waters,58000000,100687083
Venom,2005,87,4.6,10476,Jim Gillespie,25000000,881745
Four Brothers,2005,109,6.8,150835,John Singleton,30000000,92494381
Get Rich or Die Tryin',2005,117,5.4,48388,Jim Sheridan,40000000,46666955
The Fog,2005,100,3.7,38059,Rupert Wainwright,18000000,37048526
Saw II,2005,93,6.6,258460,Darren Lynn Bousman,5000000,152925093
Murderball,2005,88,7.7,10297,"Dana Adam Shapiro, Henry Alex Rubin",350000,1772979
Cheaper by the Dozen 2,2005,94,5.5,60485,Adam Shankman,60000000,135015330
Wal-Mart: The High Cost of Low Price,2005,98,6.8,4550,Robert Greenwald,1500000,58692
Children of Men,2006,109,7.9,508497,Alfonso Cuarón,76000000,69845011
Bobby,2006,117,7,42336,Emilio Estevez,14000000,20597806
Cars,2006,117,7.2,434225,"John Lasseter, Joe Ranft",70000000,461630558
Mission: Impossible III,2006,126,6.9,364075,J.J. Abrams,150000000,399387745
Over the Hedge,2006,83,6.7,180270,"Tim Johnson, Karey Kirkpatrick",80000000,343397247
The Good Shepherd,2006,167,6.7,105129,Robert De Niro,80000000,100378271
Superman Returns,2006,154,6.1,286345,Bryan Singer,232000000,391081192
10th & Wolf,2006,107,6.3,6683,Bobby Moresco,8000000,143782
Scary Movie 4,2006,83,5.1,124320,David Zucker,40000000,178710620
Happy Feet,2006,108,6.4,191144,"George Miller, Warren Coleman, Judy Morris",85000000,385000315
Shortbus,2006,101,6.4,34340,John Cameron Mitchell,2000000,1997497
Ultraviolet,2006,88,4.3,82876,Kurt Wimmer,30000000,30962112
X-Men: The Last Stand,2006,104,6.6,524315,Brett Ratner,210000000,459260946
Casino Royale,2006,144,8,667474,Martin Campbell,102000000,594420216
Curious George,2006,87,6.5,17238,Matthew O'Callaghan,50000000,71052604
The Da Vinci Code,2006,149,6.6,441248,Ron Howard,125000000,767820459
Zoom,2006,93,4.3,21847,Peter Hewitt,35000000,12506188
The Pink Panther,2006,93,5.6,89006,Shawn Levy,80000000,158926474
Silent Hill,2006,125,6.5,235019,Christophe Gans,50000000,94704227
Glory Road,2006,118,7.2,47194,James Gartner,30000000,42799060
Monster House,2006,91,6.6,126357,Gil Kenan,75000000,141267370
Renaissance,2006,105,6.6,16234,Christian Volckman,18000000,2401413
Idiocracy,2006,84,6.5,168639,Mike Judge,2400000,500296
The Black Dahlia,2006,121,5.6,75321,Brian De Palma,60000000,49238525
Click,2006,107,6.4,339444,Frank Coraci,82500000,237685089
The Shaggy Dog,2006,98,4.4,19584,Brian Robbins,60000000,87123569
Perfume: The Story of a Murderer,2006,147,7.5,256230,Tom Tykwer,63700000,133603463
Just My Luck,2006,108,5.4,58713,Donald Petrie,28000000,38159905
Eight Below,2006,120,7.3,66209,Frank Marshall,40000000,120455994
Open Season,2006,86,6.1,99993,"Roger Allers, Jill Culton, Anthony Stacchi",85000000,191932158
A Good Year,2006,117,6.9,97555,Ridley Scott,35000000,42064105
Underworld: Evolution,2006,106,6.7,203738,Len Wiseman,45000000,113417762
Little Children,2006,137,7.5,113224,Todd Field,14000000,14121177
Running Scared,2006,122,7.3,101280,Wayne Kramer,17000000,9729088
A Scanner Darkly,2006,100,7,113939,Richard Linklater,20000000,7405084
The Wild,2006,95,5.2,26644,Steve 'Spaz' Williams,80000000,99010667
Rang De Basanti,2006,167,8.1,120149,Rakeysh Omprakash Mehra,5300000,29197694
All the King's Men,2006,128,6.1,25044,Steven Zaillian,55000000,9521458
The Guardian,2006,139,6.9,94874,Andrew Davis,70000000,94973540
The Departed,2006,151,8.5,1345986,Martin Scorsese,90000000,289660619
Firewall,2006,105,5.8,58589,Richard Loncraine,50000000,82751189
Last Holiday,2006,112,6.5,33962,Wayne Wang,45000000,43343247
Poseidon,2006,98,5.7,106970,Wolfgang Petersen,160000000,181674817
The Lake House,2006,99,6.8,152758,Alejandro Agresti,40000000,114830111
Final Destination 3,2006,93,5.8,146418,James Wong,25000000,112798051
The Fountain,2006,97,7.2,242848,Darren Aronofsky,35000000,15461638
Talladega Nights: The Ballad of Ricky Bobby,2006,108,6.6,189657,Adam McKay,73000000,162870525
Bandidas,2006,93,5.7,36254,"Joachim Rønning, Espen Sandberg",35000000,19282590
Snakes on a Plane,2006,105,5.5,141412,David R. Ellis,33000000,62020814
Idlewild,2006,121,6.1,5631,Bryan Barber,15000000,12669914
Flags of Our Fathers,2006,135,7.1,125627,Clint Eastwood,53000000,63657941
Find Me Guilty,2006,125,7,35180,Sidney Lumet,13000000,2898225
The Marine,2006,92,4.7,34595,John Bonito,15000000,22165608
A Prairie Home Companion,2006,105,6.7,23164,Robert Altman,10000000,26716191
Stranger Than Fiction,2006,113,7.5,231746,Marc Forster,30000000,53572822
The Texas Chainsaw Massacre: The Beginning,2006,91,5.8,74622,Jonathan Liebesman,16000000,50517763
Infamous,2006,110,7.1,17674,Douglas McGrath,13000000,2613717
Gridiron Gang,2006,125,7.1,78445,Phil Joanou,30000000,41457834
Big Momma's House 2,2006,99,4.8,44751,John Whitesell,40000000,137047376
Marie Antoinette,2006,123,6.5,114704,Sofia Coppola,40000000,60862471
The Oh in Ohio,2006,88,5.5,6382,Billy Kent,5000000,648183
Sherrybaby,2006,96,6.6,11907,Laurie Collyer,2000000,759504
Flushed Away,2006,85,6.6,130925,"David Bowers, Sam Fell",149000000,179357126
Clerks II,2006,97,7.3,137855,Kevin Smith,5000000,27342246
Copying Beethoven,2006,104,6.7,13885,Agnieszka Holland,11000000,6586324
Employee of the Month,2006,103,5.5,48881,Greg Coolidge,10000000,38364855
Lucky Number Slevin,2006,110,7.7,317858,Paul McGuigan,27000000,55495466
Failure to Launch,2006,97,5.6,82675,Tom Dey,50000000,128402901
The Ant Bully,2006,88,5.8,40445,John A. Davis,45000000,49610898
Aquamarine,2006,110,5.4,43345,Elizabeth Allen Rosenbaum,12000000,22978953
Little Man,2006,98,4.5,56775,Keenen Ivory Wayans,64000000,101636047
Miami Vice,2006,132,6,119579,Michael Mann,135000000,164920076
One Night with the King,2006,123,6,7475,Michael O. Sajbel,20000000,13725032
Stick It,2006,103,6.3,29658,Jessica Bendinger,20000000,30399714
Basic Instinct 2,2006,114,4.4,40411,Michael Caton-Jones,70000000,35417162
Krrish,2006,185,6.4,22384,Rakesh Roshan,10000000,32430721
The Grudge 2,2006,102,5,50254,Takashi Shimizu,20000000,70743839
Flicka,2006,95,6,8200,Michael Mayer,15000000,21896367
Friends with Money,2006,88,5.8,31349,Nicole Holofcener,6500000,18110152
The Queen,2006,103,7.3,113461,Stephen Frears,15000000,128885873
See No Evil,2006,84,5,27864,Gregory Dark,8000000,18828036
Catch a Fire,2006,101,6.7,10609,Phillip Noyce,14000000,5782198
Akeelah and the Bee,2006,112,7.4,20739,Doug Atchison,8000000,18959424
The Benchwarmers,2006,85,5.5,52380,Dennis Dugan,35000000,65063726
Ice Age: The Meltdown,2006,91,6.8,284360,Carlos Saldanha,75000000,651899282
Peaceful Warrior,2006,120,7.2,28962,Victor Salva,10000000,3260179
Slither,2006,95,6.5,84748,James Gunn,15250000,12930343
Stay Alive,2006,85,5,33078,William Brent Bell,20000000,27565514
Volver,2006,121,7.6,104085,Pedro Almodóvar,9400000,87226613
Borat,2006,84,7.4,419682,Larry Charles,18000000,261443242
Dreamgirls,2006,130,6.6,75090,Bill Condon,75000000,155620350
The Illusionist,2006,110,7.6,378485,Neil Burger,16500000,83792062
The Sentinel,2006,108,6.1,50430,Clark Johnson,60000000,78080697
Invincible,2006,105,7,72772,Ericson Core,40000000,58501127
Take the Lead,2006,118,6.6,26171,Liz Friedlander,30000000,65390493
Driving Lessons,2006,98,6.6,10909,Jeremy Brock,4700000,239962
The Painted Veil,2006,125,7.4,94134,John Curran,19400000,15118795
The Night Listener,2006,91,5.9,15654,Patrick Stettner,4000000,10770993
Eragon,2006,104,5.1,127969,Stefen Fangmeier,100000000,249488115
Little Miss Sunshine,2006,101,7.8,491809,"Jonathan Dayton, Valerie Faris",8000000,100642353
Babel,2006,143,7.5,307900,Alejandro G. Iñárritu,20000000,132121212
Kabhi Alvida Naa Kehna,2006,193,6,20694,Karan Johar,10750000,32575443
16 Blocks,2006,102,6.6,132318,Richard Donner,45000000,65595141
Blood Diamond,2006,143,8,560229,Edward Zwick,100000000,171377916
Unknown,2006,85,6.4,30798,Simon Brand,3700000,3355048
The Break-Up,2006,106,5.8,135027,Peyton Reed,52000000,205727307
The Good German,2006,105,6,25573,Steven Soderbergh,32000000,6678033
Lady in the Water,2006,110,5.5,101435,M. Night Shyamalan,75000000,72785169
Hoot,2006,95,5.5,8533,Wil Shriner,15000000,8224998
Black Christmas,2006,95,4.6,28817,Glen Morgan,9000000,16235738
Flyboys,2006,140,6.5,43431,Tony Bill,60000000,14816379
The Hills Have Eyes,2006,107,6.4,175505,Alexandre Aja,17000000,70355813
Inside Man,2006,129,7.6,380517,Spike Lee,50000000,185798265
Pulse,2006,90,4.7,29870,Jim Sonzero,20500000,30241435
The Pursuit of Happyness,2006,117,8,525866,Gabriele Muccino,55000000,307311093
Turistas,2006,93,5.4,39483,John Stockwell,10000000,14321070
Let's Go to Prison,2006,84,5.9,25937,Bob Odenkirk,4000000,4630045
Garfield: A Tail of Two Kitties,2006,82,5,44646,Tim Hill,60000000,147985373
The Last King of Scotland,2006,123,7.6,189730,Kevin Macdonald,6000000,49155371
Madea's Family Reunion,2006,107,5.2,11655,Tyler Perry,10000000,63320521
When a Stranger Calls,2006,87,5.1,47020,Simon West,15000000,67215435
Nacho Libre,2006,92,5.8,89810,Jared Hess,32000000,99296462
Scoop,2006,96,6.6,85654,Woody Allen,4000000,40103262
The Holiday,2006,136,6.9,299443,Nancy Meyers,85000000,204920447
The Devil Wears Prada,2006,109,6.9,431338,David Frankel,35000000,326073155
Larry the Cable Guy: Health Inspector,2006,89,3.4,12346,Trent Cooper,17000000,15680099
School for Scoundrels,2006,100,5.9,30049,Todd Phillips,20000000,17807569
Step Up,2006,104,6.5,121735,Anne Fletcher,12000000,110989157
"You, Me and Dupree",2006,110,5.6,82579,"Anthony Russo, Joe Russo",54000000,130402010
The Fast and the Furious: Tokyo Drift,2006,104,6,278985,Justin Lin,85000000,157794205
The History Boys,2006,109,6.8,21150,Nicholas Hytner,3700000,13447998
American Dreamz,2006,107,5.5,24962,Paul Weitz,17000000,16510971
Notes on a Scandal,2006,92,7.4,80953,Richard Eyre,27500000,50578411
My Super Ex-Girlfriend,2006,96,5.2,65476,Ivan Reitman,30000000,60772856
Date Movie,2006,83,2.8,60416,"Aaron Seltzer, Jason Friedberg",20000000,85146165
ATL,2006,105,6.1,11874,Chris Robinson,17000000,21170563
The Omen,2006,110,5.5,60476,John Moore,25000000,119295584
Half Nelson,2006,106,7.1,88778,Ryan Fleck,700000,4911725
Old Joy,2006,76,6.8,8289,Kelly Reichardt,300000,399908
World Trade Center,2006,129,6,85202,Oliver Stone,65000000,163295654
For Your Consideration,2006,86,6.3,15449,Christopher Guest,12000000,5549923
Apocalypto,2006,139,7.8,318380,Mel Gibson,40000000,121032272
Crossover,2006,95,2.1,9232,Preston A. Whitmore II,5600000,7009668
United 93,2006,111,7.6,108077,Paul Greengrass,18000000,77635035
The Covenant,2006,97,5.1,50514,Renny Harlin,20000000,38164784
Night at the Museum,2006,108,6.4,357890,Shawn Levy,110000000,579446407
Rocky Balboa,2006,102,7.1,222878,Sylvester Stallone,24000000,156229050
Crank,2006,88,6.9,254381,"Mark Neveldine, Brian Taylor",12000000,43924923
Miss Potter,2006,88,7,30744,Chris Noonan,30000000,35891257
The Prestige,2006,130,8.5,1354200,Christopher Nolan,40000000,104407366
Man of the Year,2006,115,6.2,33979,Barry Levinson,20000000,41342180
Beerfest,2006,110,6.2,69713,Jay Chandrasekhar,17500000,20159316
Unaccompanied Minors,2006,90,5.3,12044,Paul Feig,25000000,21970831
Who Killed the Electric Car?,2006,92,7.6,12617,Chris Paine,1000000,1849392
Saw III,2006,108,6.2,198350,Darren Lynn Bousman,10000000,163876815
Venus,2006,95,7.1,13211,Roger Michell,6000000,7818479
Phat Girlz,2006,99,3.3,9165,Nnegest Likké,3000000,7301115
An Inconvenient Truth,2006,96,7.4,84093,Davis Guggenheim,1000000,53365925
Letters from Iwo Jima,2006,141,7.9,165477,Clint Eastwood,13000000,67867998
We Are Marshall,2006,131,7,62977,McG,65000000,43545364
The Nativity Story,2006,101,6.8,11969,Catherine Hardwicke,35000000,46309644
Doogal,2006,85,2.8,5244,"Dave Borthwick, Jean Duval, Frank Passingham",20000000,28058652
The Dead Girl,2006,85,6.6,15683,Karen Moncrieff,3300000,19875
Deck the Halls,2006,93,5,30558,John Whitesell,51000000,46815807
Facing the Giants,2006,111,6.5,17522,Alex Kendrick,100000,10243159
Awake,2007,84,6.5,77085,Joby Harold,8600000,32968648
Ghost Rider,2007,110,5.3,243714,Mark Steven Johnson,120000000,229545589
Brooklyn Rules,2007,99,6.3,5832,Michael Corrente,8000000,458232
Rush Hour 3,2007,91,6.2,173658,Brett Ratner,180000000,256585882
Live Free or Die Hard,2007,128,7.1,411185,Len Wiseman,110000000,382288147
Lucky You,2007,124,5.9,20817,Curtis Hanson,55000000,6521829
Hannibal Rising,2007,121,6.1,112343,Peter Webber,50000000,80583311
Dragon Wars: D-War,2007,107,3.5,24800,Hyung-rae Shim,32000000,79915361
Halloween,2007,109,6,125161,Rob Zombie,15000000,77514401
Harry Potter and the Order of the Phoenix,2007,138,7.5,596430,David Yates,150000000,939619849
3:10 to Yuma,2007,122,7.7,318468,James Mangold,48000000,71171825
Ratatouille,2007,111,8.1,757422,"Brad Bird, Jan Pinkava",150000000,626549695
The Golden Compass,2007,113,6.1,191835,Chris Weitz,205000000,367262558
Sicko,2007,123,8,76003,Michael Moore,9000000,36535837
King of California,2007,93,6.6,23253,M. Cahill,10000000,1165102
30 Days of Night,2007,113,6.6,181393,David Slade,30000000,80276156
Bee Movie,2007,91,6.1,168315,"Simon J. Smith, Steve Hickner",150000000,287594577
Blood and Chocolate,2007,98,5.3,18001,Katja von Garnier,15000000,6551310
Bridge to Terabithia,2007,96,7.2,162793,Gabor Csupo,25000000,137984788
Trade,2007,120,7.3,17596,Marco Kreuzpaintner,12000000,1513388
Evan Almighty,2007,96,5.4,150401,Tom Shadyac,175000000,174131329
Shrek the Third,2007,93,6.1,316019,"Chris Miller, Raman Hui",160000000,807330936
Spider-Man 3,2007,139,6.3,602825,Sam Raimi,258000000,894860230
Elizabeth: The Golden Age,2007,114,6.8,72896,Shekhar Kapur,55000000,74870866
Martian Child,2007,106,6.7,20642,Menno Meyjes,27000000,9352089
Resurrecting the Champ,2007,112,6.7,21003,Rod Lurie,13000000,3260555
Becoming Jane,2007,120,7,63141,Julian Jarrold,16500000,39380831
Transformers,2007,144,7,647749,Michael Bay,151000000,708272592
In the Land of Women,2007,97,6.4,32148,Jonathan Kasdan,10500000,14140402
The Kite Runner,2007,128,7.6,81100,Marc Forster,20000000,74180745
Control,2007,122,7.6,66663,Anton Corbijn,6400000,8902141
Hot Fuzz,2007,121,7.8,513970,Edgar Wright,16000000,80976736
The Messengers,2007,90,5.3,40462,"Danny Pang, Oxide Chun Pang",16000000,53774833
August Rush,2007,114,7.4,108821,Kirsten Sheridan,25000000,64605762
The Great Debaters,2007,126,7.5,60449,Denzel Washington,15000000,30261293
Hairspray,2007,117,6.7,133549,Adam Shankman,75000000,202822861
The Invasion,2007,99,5.9,80183,Oliver Hirschbiegel,80000000,40147042
The Kingdom,2007,110,7,127505,Peter Berg,72500000,86802457
Resident Evil: Extinction,2007,94,6.2,199262,Russell Mulcahy,45000000,149871103
Next,2007,96,6.2,161695,Lee Tamahori,70000000,73591500
Goodbye Bafana,2007,118,7.1,12063,Bille August,30000000,2717302
The Bourne Ultimatum,2007,115,8,641343,Paul Greengrass,130000000,444043396
Gracie,2007,95,6.1,4256,Davis Guggenheim,9000000,3922043
Beowulf,2007,115,6.3,170350,Robert Zemeckis,150000000,195080579
Zodiac,2007,157,7.7,556435,David Fincher,85000000,83080084
The Reaping,2007,99,5.6,43811,Stephen Hopkins,40000000,62226214
Across the Universe,2007,133,7.3,111991,Julie Taymor,45000000,29367143
Sunshine,2007,107,7.2,255496,Danny Boyle,40000000,32030610
1408,2007,104,6.8,280015,Mikael Håfström,22500000,131263370
Gone Baby Gone,2007,114,7.6,278463,Ben Affleck,19000000,34359030
Good Luck Chuck,2007,101,5.6,92066,Mark Helfrich,25000000,60709968
TMNT,2007,87,6.2,65969,Kevin Munroe,35000000,96096018
Dead Silence,2007,89,6.1,97068,James Wan,20000000,20614661
The Hunting Party,2007,101,6.8,25665,Richard Shepard,40000000,7729552
Enchanted,2007,107,7.1,209273,Kevin Lima,85000000,340384141
Code Name: The Cleaner,2007,84,4.6,11923,Les Mayfield,20000000,8135024
Daddy Day Camp,2007,89,3.2,17274,Fred Savage,6000000,18209872
Grindhouse,2007,191,7.5,186876,"Robert Rodriguez, Eli Roth, Quentin Tarantino, Edgar Wright, Rob Zombie",53000000,50187789
The Last Legion,2007,101,5.4,36344,Doug Lefler,67000000,25357771
The Simpsons Movie,2007,87,7.3,336723,David Silverman,72500000,527071022
28 Weeks Later,2007,100,6.9,282031,Juan Carlos Fresnadillo,15000000,64232714
Freedom Writers,2007,123,7.6,81451,Richard LaGravenese,21000000,43632609
Hitman,2007,100,6.2,173126,Xavier Gens,24000000,99135571
Michael Clayton,2007,119,7.2,168984,Tony Gilroy,21500000,92987651
Shoot 'Em Up,2007,86,6.6,152128,Michael Davis,39000000,26796824
Juno,2007,96,7.5,530309,Jason Reitman,7000000,231450102
There Will Be Blood,2007,158,8.2,597773,Paul Thomas Anderson,25000000,77208672
Things We Lost in the Fire,2007,118,7.1,29199,Susanne Bier,16000000,8120148
Waitress,2007,108,7,47454,Adrienne Shelly,1500000,22217183
The Brave One,2007,122,6.7,61932,Neil Jordan,70000000,69792704
Premonition,2007,96,5.9,79853,Mennan Yapo,20000000,84146832
No Country for Old Men,2007,122,8.2,992951,"Ethan Coen, Joel Coen",25000000,164035753
In the Valley of Elah,2007,121,7.2,73831,Paul Haggis,23000000,24489150
Knocked Up,2007,129,6.9,374920,Judd Apatow,27500000,219265952
Nancy Drew,2007,99,5.9,20905,Andrew Fleming,20000000,30703845
No Reservations,2007,104,6.3,76301,Scott Hicks,28000000,91943956
The Number 23,2007,98,6.4,206358,Joel Schumacher,32000000,77593167
The Good Night,2007,93,5.7,8616,Jake Paltrow,15000000,22441
Love in the Time of Cholera,2007,139,6.4,23616,Mike Newell,45000000,31077418
Fantastic Four: Rise of the Silver Surfer,2007,92,5.6,269893,Tim Story,120000000,289480691
Stardust,2007,127,7.6,276512,Matthew Vaughn,70000000,137022245
Disturbia,2007,105,6.8,239704,D.J. Caruso,20000000,118537627
Wild Hogs,2007,100,5.8,120522,Walt Becker,60000000,253555383
Because I Said So,2007,102,5.6,39150,Michael Lehmann,39000000,69538833
Reign Over Me,2007,124,7.4,97922,Mike Binder,20000000,20081987
The Game Plan,2007,110,6.3,96380,Andy Fickman,22000000,146590987
Ocean's Thirteen,2007,122,6.9,353970,Steven Soderbergh,85000000,311744465
Hostel: Part II,2007,94,5.5,92364,Eli Roth,7500000,33606409
We Own the Night,2007,117,6.8,90468,James Gray,28000000,55307857
Reno 911!: Miami,2007,80,5.9,27538,Robert Ben Garant,10000000,21851362
War,2007,103,6.2,93658,Philip G. Atwell,25000000,40686409
Into the Wild,2007,148,8.1,631791,Sean Penn,20000000,56822960
