primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,ProductionBudget,WorldwideGross
The Family Man,2000,125,6.8,113678,Brett Ratner,60000000,124715863
Dracula 2000,2000,99,4.9,34935,Patrick Lussier,28000000,33000377
The Gift,2000,112,6.7,71390,Sam Raimi,10000000,44567606
The Kid,2000,104,6.1,43078,Jon Turteltaub,65000000,69688384
Lucky Numbers,2000,105,5.1,10695,Nora Ephron,65000000,10014234
The Tigger Movie,2000,77,6.3,19490,Jun Falkenstein,20000000,96147688
The Broken Hearts Club: A Romantic Comedy,2000,94,6.9,7848,Greg Berlanti,1000000,2022442
Proof of Life,2000,135,6.3,57881,Taylor Hackford,65000000,62761005
Book of Shadows: Blair Witch 2,2000,90,4,38913,Joe Berlinger,15000000,47721314
Bedazzled,2000,93,6.1,107878,Harold Ramis,48000000,90376224
The Original Kings of Comedy,2000,115,6.8,5921,Spike Lee,3000000,38236338
Chocolat,2000,121,7.3,195239,Lasse Hallström,25000000,152500343
"Dude, Where's My Car?",2000,83,5.5,142170,Danny Leiner,13000000,73180297
Fiza,2000,170,6,4346,Khalid Mohamed,1000000,1179462
Billy Elliot,2000,110,7.7,137812,Stephen Daldry,5000000,109252972
Digimon: The Movie,2000,82,6,7618,"Bob Buchholz, Mamoru Hosoda, Jeff Nimoy, Shigeyasu Yamauchi",5000000,16628751
George Washington,2000,89,7.2,8477,David Gordon Green,42000,342722
Glitter,2001,104,2.4,23728,Vondie Curtis-Hall,8500000,4273372
From Hell,2001,122,6.7,158878,"Albert Hughes, Allen Hughes",35000000,68712365
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,1902846,Peter Jackson,93000000,891216824
The Shipping News,2001,111,6.7,33387,Lasse Hallström,35000000,24405825
Heartbreakers,2001,123,6.2,55984,David Mirkin,38000000,57753825
Shrek,2001,90,7.9,693718,"Andrew Adamson, Vicky Jenson",50000000,491812794
Driven,2001,116,4.6,42033,Renny Harlin,72000000,54616869
Planet of the Apes,2001,119,5.7,222782,Tim Burton,100000000,362211740
Training Day,2001,122,7.7,446829,Antoine Fuqua,45000000,104505352
Town & Country,2001,104,4.5,5084,Peter Chelsom,105000000,10364769
Lara Croft: Tomb Raider,2001,100,5.7,212841,Simon West,94000000,273330185
Behind Enemy Lines,2001,106,6.4,108205,John Moore,40000000,58855732
What's the Worst That Could Happen?,2001,94,5.4,16221,Sam Weisman,30000000,38462071
Ghost World,2001,111,7.3,122984,Terry Zwigoff,5500000,8761608
Jurassic Park III,2001,92,5.9,328598,Joe Johnston,93000000,365900000
Along Came a Spider,2001,104,6.4,90821,Lee Tamahori,28000000,105159085
Bones,2001,96,4.4,7841,Ernest R. Dickerson,10000000,8378853
Monkeybone,2001,93,4.8,18558,Henry Selick,75000000,5409517
Mulholland Drive,2001,147,7.9,364074,David Lynch,15000000,20780568
