tconst,primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,writers,Production Budget,Worldwide Gross
tt0116905,Lone Star,1996,135,7.4,30539,John Sayles,John Sayles,5000000,12961389
tt0116908,The Long Kiss Goodnight,1996,121,6.8,81927,Renny Harlin,Shane Black,65000000,33447612
tt0116996,Mars Attacks!,1996,106,6.4,233090,Tim Burton,"Len Brown, Woody Gelman, Wally Wood, Bob Powell, Norman Saunders, Jonathan Gems",80000000,101371017
tt0116999,Marvin's Room,1996,98,6.7,28788,Jerry Zaks,Scott McPherson,23000000,12803305
tt0117002,Mary Reilly,1996,108,5.8,15345,Stephen Frears,"Valerie Martin, Christopher Hampton",47000000,12900000
tt0117008,Matilda,1996,98,7,161537,Danny DeVito,"Roald Dahl, Nicholas Kazan, Robin Swicord",25000000,9755282
tt0117011,Maximum Risk,1996,101,5.5,22930,Ringo Lam,Larry Ferguson,25000000,51702929
tt0117039,Michael Collins,1996,133,7.1,32394,Neil Jordan,Neil Jordan,25000000,27572844
tt0117057,The Mirror Has Two Faces,1996,126,6.6,20680,Barbra Streisand,"André Cayatte, Gérard Oury, Richard LaGravenese, Jean Meckert, Denis Perret",42000000,41267469
tt0117060,Mission: Impossible,1996,110,7.1,435606,Brian De Palma,"Bruce Geller, David Koepp, Steven Zaillian, Robert Towne",80000000,457697994
tt0117104,Mrs. Winterbourne,1996,105,6.2,8151,Richard Benjamin,"Cornell Woolrich, Phoef Sutton, Lisa-Maria Radano",25000000,10039566
tt0117108,Multiplicity,1996,117,6.1,33800,Harold Ramis,"Chris Miller, Mary Hale, Lowell Ganz, Babaloo Mandel",45000000,20133326
tt0117119,My Fellow Americans,1996,101,6.5,15509,Peter Segal,"E. Jack Kaplan, Richard Chapman, Peter Tolan",21500000,22331846
tt0117218,The Nutty Professor,1996,95,5.7,119877,Tom Shadyac,"Jerry Lewis, Bill Richmond, David Sheffield, Barry W. Blaustein, Tom Shadyac, Steve Oedekerk",55000000,273814019
tt0117283,The Pallbearer,1996,98,5,11285,Matt Reeves,"Jason Katims, Matt Reeves",8000000,5656388
tt0117331,The Phantom,1996,100,5,34750,Simon Wincer,"Lee Falk, Jeffrey Boam",45000000,17220599
tt0117333,Phenomenon,1996,123,6.4,81180,Jon Turteltaub,Gerald Di Pego,32000000,152036382
tt0117438,Ransom,1996,121,6.7,130984,Ron Howard,"Cyril Hume, Richard Maibaum, Richard Price, Alexander Ignon",70000000,308700000
tt0117500,The Rock,1996,136,7.4,344811,Michael Bay,"David Weisberg, Douglas Cook, Mark Rosner",75000000,336069511
tt0117571,Scream,1996,111,7.4,358346,Wes Craven,Kevin Williamson,15000000,173046640
tt0117589,Secrets & Lies,1996,136,8,44653,Mike Leigh,Mike Leigh,4500000,16090874
tt0117603,Set It Off,1996,123,6.9,17249,F. Gary Gray,"Takashi Bufford, Kate Lanier",9000000,36049108
tt0117608,Sgt. Bilko,1996,93,5.8,23219,Jonathan Lynn,"Nat Hiken, Andy Breckman",39000000,37956589
tt0117628,She's the One,1996,96,6,17996,Edward Burns,Edward Burns,3500000,13795053
tt0117631,Shine,1996,105,7.6,55103,Scott Hicks,"Jan Sardi, Scott Hicks",5500000,36675932
tt0117665,Sleepers,1996,147,7.5,229030,Barry Levinson,"Lorenzo Carcaterra, Barry Levinson",44000000,165600852
tt0117666,Sling Blade,1996,135,8,95702,Billy Bob Thornton,Billy Bob Thornton,4833610,34175000
tt0117705,Space Jam,1996,88,6.5,202480,Joe Pytka,"Leo Benvenuti, Steve Rudnick, Timothy Harris, Herschel Weingrod",80000000,250180384
tt0117723,Spy Hard,1996,81,5.3,38912,Rick Friedberg,"Jason Friedberg, Aaron Seltzer, Rick Friedberg, Dick Chudnow",18000000,26936265
tt0117731,Star Trek: First Contact,1996,111,7.6,127883,Jonathan Frakes,"Gene Roddenberry, Rick Berman, Brannon Braga, Ronald D. Moore",46000000,150000000
tt0117765,Striptease,1996,115,4.5,46618,Andrew Bergman,"Carl Hiaasen, Andrew Bergman",50000000,113309743
tt0117802,Swingers,1996,96,7.2,84894,Doug Liman,Jon Favreau,200000,6618578
tt0117887,That Thing You Do!,1996,108,7,70781,Tom Hanks,Tom Hanks,2500000,34557416
tt0117894,Thinner,1996,93,5.8,32040,Tom Holland,"Stephen King, Michael McDowell, Tom Holland",14000000,15171475
tt0117913,A Time to Kill,1996,149,7.5,167231,Joel Schumacher,"John Grisham, Akiva Goldsman",40000000,152266007
tt0117918,Tin Cup,1996,135,6.4,51606,Ron Shelton,"John Norville, Ron Shelton",45000000,75854588
tt0117951,Trainspotting,1996,93,8.1,697099,Danny Boyle,"Irvine Welsh, John Hodge",3100000,71548935
tt0117958,Trees Lounge,1996,95,7.1,16858,Steve Buscemi,Steve Buscemi,1300000,749741
tt0117998,Twister,1996,113,6.4,201139,Jan de Bont,"Michael Crichton, Anne-Marie Martin",88000000,495700000
tt0118040,Unforgettable,1996,117,6,5694,John Dahl,Bill Geddie,18000000,2483790
tt0118055,Up Close & Personal,1996,124,6.1,14883,Jon Avnet,"Joan Didion, John Gregory Dunne, Alanna Nash",60000000,100645801
tt0118158,White Squall,1996,129,6.6,24477,Ridley Scott,"Charles Gieg Jr., Felix Sutton, Todd Robinson",38000000,10229300
tt0118541,8 Heads in a Duffel Bag,1997,95,5.4,10762,Tom Schulman,Tom Schulman,3000000,4002884
tt0118548,Absolute Power,1997,121,6.7,57261,Clint Eastwood,"David Baldacci, William Goldman",50000000,50068310
tt0118570,Air Bud,1997,98,5.3,18487,Charles Martin Smith,"Kevin DiCicco, Paul Tamasy, Aaron Mendelsohn",3000000,27788649
tt0118571,Air Force One,1997,124,6.5,201364,Wolfgang Petersen,Andrew W. Marlowe,85000000,315268353
tt0118583,Alien: Resurrection,1997,109,6.2,252639,Jean-Pierre Jeunet,"Dan O'Bannon, Ronald Shusett, Joss Whedon",60000000,160700000
tt0118607,Amistad,1997,155,7.3,79417,Steven Spielberg,David Franzoni,40000000,58250151
tt0118615,Anaconda,1997,89,4.8,107154,Luis Llosa,"Hans Bauer, Jim Cash, Jack Epps Jr.",45000000,136998907
tt0118617,Anastasia,1997,94,7.1,128163,"Don Bluth, Gary Goldman","Susan Gauthier, Bruce Graham, Bob Tzudiker, Noni White, Eric Tuchman",53000000,139801096
tt0118632,The Apostle,1997,134,7.2,14460,Robert Duvall,Robert Duvall,5000000,21277770
tt0118655,Austin Powers: International Man of Mystery,1997,94,7,246021,Jay Roach,Mike Myers,18000000,67683989
tt0118688,Batman & Robin,1997,125,3.7,258230,Joel Schumacher,"Bob Kane, Akiva Goldsman",125000000,238317814
tt0118749,Boogie Nights,1997,155,7.9,271053,Paul Thomas Anderson,Paul Thomas Anderson,15000000,43111725
tt0118771,Breakdown,1997,93,7,57310,Jonathan Mostow,"Jonathan Mostow, Sam Montgomery",36000000,50159144
tt0118829,Cats Don't Dance,1997,75,6.9,7996,Mark Dindal,"Rick Calabash, Robert Lence, Mark Dindal, Kelvin Yasuda, Brian McEntee, David Womersley, Bobs Gannaway, Cliff Ruby, Elana Lesser, nm0678505, Joel Paley, Cinco Paul",32000000,3588602
tt0118842,Chasing Amy,1997,113,7.2,140398,Kevin Smith,Kevin Smith,250000,15155095
tt0118880,Con Air,1997,115,6.9,306104,Simon West,Scott Rosenberg,80000000,224117573
tt0118883,Conspiracy Theory,1997,135,6.7,103026,Richard Donner,Brian Helgeland,80000000,142783718
tt0118884,Contact,1997,150,7.5,280411,Robert Zemeckis,"James V. Hart, Michael Goldenberg, Carl Sagan, Ann Druyan",90000000,165900000
tt0118887,Cop Land,1997,105,7,99172,James Mangold,James Mangold,15000000,63706632
tt0118954,Deconstructing Harry,1997,96,7.3,46153,Woody Allen,Woody Allen,20000000,10686841
tt0118972,The Devil's Own,1997,111,6.2,67890,Alan J. Pakula,"Kevin Jarre, David Aaron Cohen, Vincent Patrick",90000000,140900000
tt0119008,Donnie Brasco,1997,127,7.7,314905,Mike Newell,"Joseph D. Pistone, Richard Woodley, Paul Attanasio",35000000,65303052
tt0119080,Eve's Bayou,1997,108,7.2,10821,Kasi Lemmons,Kasi Lemmons,5000000,14843425
tt0119081,Event Horizon,1997,96,6.6,186246,Paul W.S. Anderson,Philip Eisner,60000000,26673954
tt0119094,Face/Off,1997,138,7.3,384653,John Woo,"Mike Werb, Michael Colleary",80000000,241199984
tt0119116,The Fifth Element,1997,126,7.6,482746,Luc Besson,"Luc Besson, Robert Mark Kamen",95000000,263892820
tt0119137,Flubber,1997,93,5.3,91603,Les Mayfield,"Samuel W. Taylor, John Hughes, Bill Walsh",80000000,177993801
tt0119164,The Full Monty,1997,91,7.2,108964,Peter Cattaneo,Simon Beaufoy,3500000,261249383
tt0119173,G.I. Jane,1997,125,6,83703,Ridley Scott,"Danielle Alexandra, David Twohy",50000000,48169156
