tconst,primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,writers,Production Budget,Worldwide Gross
tt0004972,The Birth of a Nation,1915,195,6.2,25354,D.W. Griffith,"Thomas Dixon Jr., D.W. Griffith, Frank E. Woods",110000,11000000
tt0006333,"20,000 Leagues Under the Sea",1916,85,6.1,1880,Stuart Paton,"Jules Verne, Stuart Paton",200000,8000000
tt0006864,Intolerance,1916,163,7.7,16018,D.W. Griffith,"Hettie Grey Baker, Tod Browning, D.W. Griffith, Anita Loos, Mary H. O'Connor, Walt Whitman, Frank E. Woods",385907,0
tt0015624,The Big Parade,1925,151,7.9,6973,"George W. Hill, King Vidor","Laurence Stallings, Harry Behn, Joseph Farnham, King Vidor",245000,22000000
tt0016641,Ben-Hur: A Tale of the Christ,1925,143,7.8,7745,"Fred Niblo, Charles Brabin, Christy Cabanne, J.J. Cohn, Rex Ingram","Lew Wallace, June Mathis, Carey Wilson, Katherine Hilliker, H.H. Caldwell",3900000,9000000
tt0018578,Wings,1927,144,7.6,13566,"William A. Wellman, Harry d'Abbadie d'Arrast","John Monk Saunders, Hope Loring, Louis D. Lighton, Julian Johnson, Byron Morgan",2000000,0
tt0019729,The Broadway Melody,1929,100,5.6,7581,Harry Beaumont,"Edmund Goulding, Norman Houston, James Gleason, Earl Baldwin",379000,4358000
tt0020960,Hell's Angels,1930,127,7.3,5623,"Howard Hughes, Edmund Goulding, James Whale","Marshall Neilan, Joseph Moncure March, Howard Estabrook, Harry Behn",4000000,0
tt0023196,Mata Hari,1931,89,6.6,3807,George Fitzmaurice,"Benjamin Glazer, Leo Birinsky, Doris Anderson, Gilbert Emery",558000,900000
tt0024034,42nd Street,1933,89,7.3,12477,Lloyd Bacon,"Rian James, James Seymour, Bradford Ropes, Whitney Bolton",439000,2281000
tt0024216,King Kong,1933,100,7.9,87386,"Merian C. Cooper, Ernest B. Schoedsack","James Ashmore Creelman, Ruth Rose, Merian C. Cooper, Edgar Wallace, Leon Gordon",672000,10001781
tt0024548,She Done Him Wrong,1933,66,6.3,6534,Lowell Sherman,"Mae West, Harvey F. Thew, John Bright",200000,2200000
tt0025316,It Happened One Night,1934,105,8.1,106539,Frank Capra,"Robert Riskin, Samuel Hopkins Adams",325000,2500000
tt0027125,Top Hat,1935,101,7.7,19799,Mark Sandrich,"Dwight Taylor, Allan Scott, Aladar Laszlo, Sándor Faragó, Ben Holmes, Károly Nóti, Ralph Spence",609000,3202000
tt0027438,The Charge of the Light Brigade,1936,115,7,5205,Michael Curtiz,"Alfred Lord Tennyson, Michael Jacoby, Rowland Leigh",1200000,0
tt0027977,Modern Times,1936,87,8.5,246616,Charles Chaplin,Charles Chaplin,1500000,229549
tt0028216,San Francisco,1936,115,7.2,5816,W.S. Van Dyke,"Anita Loos, Robert E. Hopkins, Herman J. Mankiewicz",1300000,5273000
tt0029583,Snow White and the Seven Dwarfs,1937,83,7.6,204447,"Ben Sharpsteen, David Hand, Perce Pearce, William Cottrell, Wilfred Jackson, Larry Morey","Jacob Grimm, Wilhelm Grimm, Ted Sears, nm0187232, Otto Englander, nm0725439, nm0403319, nm0210112, nm0087490, nm0810324",1488000,184925486
tt0029852,Alexander's Ragtime Band,1938,106,6.9,2196,Henry King,"Kathryn Scola, Lamar Trotti, Richard Sherman, Irving Berlin, Sheridan Gibney, Darryl F. Zanuck",2000000,4000000
tt0031381,Gone with the Wind,1939,238,8.2,320696,"Victor Fleming, George Cukor, Sam Wood","Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett, Ben Hecht, Jo Swerling, John Van Druten",3900000,390525192
tt0032138,The Wizard of Oz,1939,102,8.1,407571,"Richard Thorpe, Norman Taurog, Mervyn LeRoy, George Cukor, King Vidor, Victor Fleming","Noel Langley, Florence Ryerson, Edgar Allan Woolf, L. Frank Baum, Arthur Freed, Irving Brecher, nm0134284, Herbert Fields, Jack Haley, E.Y. Harburg, Samuel Hoffenstein, Bert Lahr, John Lee Mahin, Herman J. Mankiewicz, Jack Mintz, Ogden Nash, Robert Pirosh, George Seaton, Sid Silvers",2777000,34949482
tt0032273,Boom Town,1940,119,7.1,3584,Jack Conway,"John Lee Mahin, James Edward Grant",2000000,9172000
tt0032455,Fantasia,1940,124,7.7,99081,"James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen","nm0335469, Dick Huemer, Lee Blair, nm0687624, nm0226679, nm0390839, Norman Wright, Albert Heath, nm0538164, Graham Heid, Perce Pearce, nm0266338, nm0553200, nm0857936, nm0827963, John McLeish, Otto Englander, nm0810324, Erdman Penner, nm0754836, Bill Peet, nm0821707, nm0335296, nm6773872",2280000,83320832
tt0032828,My Little Chickadee,1940,83,6.8,2950,Edward F. Cline,"Mae West, W.C. Fields",625000,0
tt0032910,Pinocchio,1940,88,7.5,151585,"Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen","Carlo Collodi, Ted Sears, Otto Englander, nm0810324, William Cottrell, nm0754836, Erdman Penner, nm0061284, Bill Peet, Frank Tashlin",2289247,84300000
tt0032976,Rebecca,1940,130,8.1,139980,Alfred Hitchcock,"Daphne Du Maurier, Robert E. Sherwood, Joan Harrison, Philip MacDonald, Michael Hogan",1288000,6002370
tt0033729,How Green Was My Valley,1941,118,7.7,25123,John Ford,"Philip Dunne, Richard Llewellyn",1250000,0
tt0034492,Bambi,1942,69,7.3,146803,"James Algar, Samuel Armstrong, David Hand, Graham Heid, Bill Roberts, Paul Satterfield, Norman Wright, Arthur Davis, Clyde Geronimi","Felix Salten, Perce Pearce, Larry Morey, nm0821707, nm0789873, nm0266338, Chuck Couch, Ralph Wright",858000,268000000
tt0034587,Cat People,1942,73,7.2,24124,Jacques Tourneur,DeWitt Bodeen,134000,8000000
tt0035959,A Guy Named Joe,1943,120,6.9,2719,Victor Fleming,"Chandler Sprague, David Boehm, Frederick Hazlitt Brennan, Dalton Trumbo",2627000,5363000
tt0036628,Bathing Beauty,1944,101,6.4,1765,George Sidney,"Kenneth Earl, M.M. Musselman, Curtis Kenyon, Joseph Schrank, Dorothy Kingsley, Allen Boretz, Frank Waldman, George Oppenheimer",2361000,3500000
tt0037465,Wilson,1944,154,6.4,1625,Henry King,Lamar Trotti,5200000,2000000
tt0037884,The Lost Weekend,1945,101,7.9,38368,Billy Wilder,"Charles R. Jackson, Charles Brackett, Billy Wilder",1250000,11000000
tt0038109,Spellbound,1945,111,7.5,49906,Alfred Hitchcock,"Ben Hecht, John Palmer, Hilary St George Saunders, Angus MacPhail, May E. Romm",1500000,7000000
tt0038213,The Valley of Decision,1945,119,7.3,2161,Tay Garnett,"John Meehan, Sonya Levien, Marcia Davenport",2160000,9132000
tt0036868,The Best Years of Our Lives,1946,170,8.1,66557,William Wyler,"Robert E. Sherwood, MacKinlay Kantor",2100000,23600000
tt0038499,Duel in the Sun,1946,146,6.7,9051,"Otto Brower, Josef von Sternberg, David O. Selznick, William Cameron Menzies, King Vidor, Sidney Franklin, William Dieterle","David O. Selznick, Niven Busch, Oliver H.P. Garrett, Ben Hecht",6000000,20400000
tt0038589,The Harvey Girls,1946,102,7,4536,George Sidney,"Edmund Beloin, Nathaniel Curtis, Harry Crane, James O'Hanlon, Samson Raphaelson, Kay Van Riper, Samuel Hopkins Adams, Eleanore Griffin, William Rankin",2931000,4100000
tt0038787,Notorious,1946,102,7.9,103135,Alfred Hitchcock,"Ben Hecht, Alfred Hitchcock, John Taintor Foote, Clifford Odets",2000000,24493053
tt0039416,Gentleman's Agreement,1947,118,7.2,17037,Elia Kazan,"Laura Z. Hobson, Moss Hart, Elia Kazan",2000000,7800000
tt0040525,The Lady from Shanghai,1947,87,7.5,31467,Orson Welles,"Sherwood King, Orson Welles, William Castle, Charles Lederer, Fletcher Markle",2000000,0
tt0040694,The Pirate,1948,102,6.9,5281,Vincente Minnelli,"Albert Hackett, Frances Goodrich, S.N. Behrman, Joseph L. Mankiewicz, Frances Marion, Joseph Than",3700000,2956000
tt0040724,Red River,1948,133,7.8,32372,"Howard Hawks, Arthur Rosson","Borden Chase, Charles Schnee",3000000,9012000
tt0041841,Sands of Iwo Jima,1949,100,7,10838,Allan Dwan,"Harry Brown, James Edward Grant",1000000,7803339
tt0041866,She Wore a Yellow Ribbon,1949,104,7.2,18433,John Ford,"James Warner Bellah, Frank S. Nugent, Laurence Stallings",1600000,5400000
tt0042200,Annie Get Your Gun,1950,107,6.9,5031,"George Sidney, Busby Berkeley","Sidney Sheldon, Herbert Fields, Dorothy Fields",3768785,8000000
tt0042332,Cinderella,1950,74,7.3,164910,"Wilfred Jackson, Clyde Geronimi, Hamilton Luske","Charles Perrault, Bill Peet, Erdman Penner, Ted Sears, Winston Hibler, Homer Brightman, Harry Reeves, Ken Anderson, Joe Rinaldi, Maurice Rapf, Frank Tashlin",2900000,263591415
tt0043274,Alice in Wonderland,1951,75,7.3,145932,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney","Lewis Carroll, Winston Hibler, Ted Sears, Bill Peet, Erdman Penner, Joe Rinaldi, Milt Banta, William Cottrell, nm0447039, nm0335469, Dick Huemer, nm0174974, nm0649603, nm0906929, Aldous Huxley",3000000,0
tt0043456,The Day the Earth Stood Still,1951,92,7.8,83317,Robert Wise,"Edmund H. North, Harry Bates",1200000,3700000
tt0044030,Show Boat,1951,108,6.9,5157,George Sidney,"John Lee Mahin, Jerome Kern, Oscar Hammerstein II, Edna Ferber",2300000,11000000
tt0044079,Strangers on a Train,1951,101,7.9,136197,Alfred Hitchcock,"Raymond Chandler, Czenzi Ormonde, Whitfield Cook, Patricia Highsmith, Ben Hecht",1200000,7021533
tt0044081,A Streetcar Named Desire,1951,122,7.9,110453,Elia Kazan,"Tennessee Williams, Oscar Saul",1800000,8006845
tt0044672,The Greatest Show on Earth,1952,152,6.6,15250,Cecil B. DeMille,"Fredric M. Frank, Barré Lyndon, Theodore St. John, Frank Cavett, Jack Gariss",4000000,36000000
tt0044706,High Noon,1952,85,8,106312,Fred Zinnemann,"Carl Foreman, John W. Cunningham",730000,8000000
tt0045152,Singin' in the Rain,1952,103,8.3,247234,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green",2540000,7241009
tt0045546,"The Beast from 20,000 Fathoms",1953,80,6.6,8258,Eugène Lourié,"Lou Morheim, Fred Freiberger, Ray Bradbury, Daniel James, Eugène Lourié, Robert Smith",210000,5000000
tt0045793,From Here to Eternity,1953,118,7.6,48526,Fred Zinnemann,"Daniel Taradash, James Jones",1650000,30500000
tt0045888,House of Wax,1953,88,7,18991,André De Toth,"Crane Wilbur, Charles Belden",658000,23800000
tt0046126,Niagara,1953,92,7,18556,Henry Hathaway,"Charles Brackett, Walter Reisch, Richard L. Breen",1250000,2500000
tt0046183,Peter Pan,1953,77,7.3,144440,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney","J.M. Barrie, Ted Sears, Erdman Penner, Bill Peet, Winston Hibler, Joe Rinaldi, Milt Banta, Ralph Wright, William Cottrell, nm0159767",4000000,87400000
tt0046247,The Robe,1953,135,6.7,10884,Henry Koster,"Philip Dunne, Gina Kaus, Lloyd C. Douglas, Albert Maltz",5000000,36010887
tt0046672,"20,000 Leagues Under the Sea",1954,127,7.2,35110,Richard Fleischer,"Earl Felton, Jules Verne",5000000,28200000
tt0046949,The Egyptian,1954,139,6.5,4219,Michael Curtiz,"Philip Dunne, Casey Robinson, Mika Waltari",5000000,15000000
tt0047296,On the Waterfront,1954,108,8.1,157704,Elia Kazan,"Budd Schulberg, Malcolm Johnson, Robert Siodmak",910000,9600000
tt0048261,Kiss Me Deadly,1955,106,7.5,21149,Robert Aldrich,"Mickey Spillane, A.I. Bezzerides",410000,217
tt0048750,The Trouble with Harry,1955,99,7,39556,Alfred Hitchcock,"John Michael Hayes, Jack Trevor Story",1200000,7000000
tt0048960,Around the World in 80 Days,1956,167,6.7,28461,"Michael Anderson, John Farrow","James Poe, John Farrow, S.J. Perelman, Jules Verne",6000000,42000000
tt0049055,Carousel,1956,128,6.6,6523,Henry King,"Phoebe Ephron, Henry Ephron, Oscar Hammerstein II, Ferenc Molnár, Benjamin Glazer",3380000,3604
tt0049452,Love Me Tender,1956,89,6.2,4399,Robert D. Webb,"Robert Buckner, Maurice Geraghty",1000000,9000000
tt0049513,Moby Dick,1956,116,7.3,20686,John Huston,"Ray Bradbury, John Huston, Norman Corwin, Herman Melville",4500000,10411840
tt0049833,The Ten Commandments,1956,220,7.9,72926,Cecil B. DeMille,"Dorothy Clarke Wilson, J.H. Ingraham, A.E. Southon, Æneas MacKenzie, Jesse Lasky Jr., Jack Gariss, Fredric M. Frank",13500000,85433929
tt0049875,Trapeze,1956,105,6.8,4949,Carol Reed,"Max Catto, Liam O'Brien, James R. Webb, Ben Hecht, Wolf Mankowitz",4000000,14400000
tt0049934,War and Peace,1956,208,6.7,10350,King Vidor,"Lev Tolstoy, Bridget Boland, Robert Westerby, King Vidor, Mario Camerini, Ennio De Concini, Ivo Perilli, Elizabeth Hill, Gian Gaspare Napolitano, Irwin Shaw, Mario Soldati",6000000,12526685
tt0051207,The Wrong Man,1956,105,7.4,29553,Alfred Hitchcock,"Maxwell Anderson, Angus MacPhail",1200000,2000000
tt0050083,12 Angry Men,1957,96,9,805235,Sidney Lumet,Reginald Rose,340000,379
tt0050212,The Bridge on the River Kwai,1957,161,8.2,224391,David Lean,"Pierre Boulle, Carl Foreman, Michael Wilson",3000000,33300000
tt0051459,Cat on a Hot Tin Roof,1958,108,7.9,51007,Richard Brooks,"Richard Brooks, James Poe, Tennessee Williams",3000000,17570324
tt0052618,Ben-Hur,1959,212,8.1,243430,William Wyler,"Lew Wallace, Karl Tunberg, Gore Vidal, Maxwell Anderson, S.N. Behrman, Christopher Fry",15000000,73259017
tt0053131,The Nun's Story,1959,149,7.5,11091,Fred Zinnemann,"Robert Anderson, Kathryn Hulme",3500000,12800000
tt0053290,Solomon and Sheba,1959,141,6.1,3540,King Vidor,"Crane Wilbur, Anthony Veiller, Paul Dudley, George Bruce",5000000,11016959
tt0053580,The Alamo,1960,162,6.8,16571,John Wayne,James Edward Grant,12000000,7900000
tt0053604,The Apartment,1960,125,8.3,185343,Billy Wilder,"Billy Wilder, I.A.L. Diamond",3000000,24599998
tt0053793,Elmer Gantry,1960,146,7.7,12116,Richard Brooks,"Richard Brooks, Sinclair Lewis",3000000,10400064
tt0053804,Exodus,1960,208,6.7,10352,Otto Preminger,"Dalton Trumbo, Leon Uris",4000000,21750000
tt0054331,Spartacus,1960,197,7.9,137646,"Stanley Kubrick, Anthony Mann","Dalton Trumbo, Howard Fast, Peter Ustinov, Calder Willingham, Plutarch",12000000,60000000
tt0054997,The Hustler,1961,134,8,83770,Robert Rossen,"Sidney Carroll, Robert Rossen, Walter Tevis",2000000,7600000
tt0055031,Judgment at Nuremberg,1961,179,8.3,79258,Stanley Kramer,"Abby Mann, Montgomery Clift",3000000,10000000
tt0055184,The Misfits,1961,125,7.2,21675,John Huston,Arthur Miller,4000000,8200000
tt0055312,Pocketful of Miracles,1961,136,7.1,7471,Frank Capra,"Hal Kanter, Harry Tugend, Robert Riskin, Damon Runyon, Jimmy Cannon",2900000,5000000
tt0055614,West Side Story,1961,153,7.6,116851,"Jerome Robbins, Robert Wise","Ernest Lehman, Arthur Laurents, Jerome Robbins, William Shakespeare",6000000,47596274
tt0052646,The Brain That Wouldn't Die,1962,82,4.5,7234,Joseph Green,"Joseph Green, Rex Carlton",60000,0
tt0056172,Lawrence of Arabia,1962,218,8.3,299169,David Lean,"Robert Bolt, Michael Wilson",15000000,69995047
tt0056193,Lolita,1962,153,7.5,104232,Stanley Kubrick,"Vladimir Nabokov, Stanley Kubrick, James B. Harris",2000000,9250000
tt0056197,The Longest Day,1962,178,7.7,57145,"Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck","Cornelius Ryan, Romain Gary, James Jones, David Pursall, Jack Seddon",10000000,50100000
tt0056217,The Man Who Shot Liberty Valance,1962,123,8.1,78398,John Ford,"James Warner Bellah, Willis Goldbeck, Dorothy M. Johnson",3200000,8000000
tt0056526,State Fair,1962,118,5.9,1272,José Ferrer,"Richard L. Breen, Oscar Hammerstein II, Sonya Levien, Paul Green, Philip Stong",4500000,3500000
tt0056800,55 Days at Peking,1963,154,6.7,6932,"Nicholas Ray, Guy Green, Andrew Marton","Robert Hamer, Philip Yordan, Bernard Gordon, Ben Barzman",17000000,10000000
tt0056937,Cleopatra,1963,192,7,34859,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Ranald MacDougall, Sidney Buchman, Plutarch, Suetonius, Appian, nm0291880, Ben Hecht",42000000,71000000
tt0057007,Donovan's Reef,1963,109,6.7,9336,John Ford,"Frank S. Nugent, James Edward Grant, Edmund Beloin, James A. Michener",2686000,6600000
tt0057115,The Great Escape,1963,172,8.2,248219,John Sturges,"Paul Brickhill, James Clavell, W.R. Burnett",4000000,11972799
tt0057163,Hud,1963,112,7.8,22766,Martin Ritt,"Irving Ravetch, Harriet Frank Jr., Larry McMurtry",2500000,10000000
tt0057193,It's a Mad Mad Mad Mad World,1963,210,7.5,43415,Stanley Kramer,"William Rose, Tania Rose",9400000,60000000
tt0057590,Tom Jones,1963,129,6.4,13610,Tony Richardson,"John Osborne, Henry Fielding",1000000,37600000
tt0058085,The Fall of the Roman Empire,1964,188,6.7,9561,Anthony Mann,"Ben Barzman, Basilio Franchina, Philip Yordan, Edward Gibbon",19000000,4750000
tt0058150,Goldfinger,1964,110,7.7,194465,Guy Hamilton,"Richard Maibaum, Paul Dehn, Ian Fleming, Johanna Harwood, Berkely Mather",3000000,124900000
tt0058182,A Hard Day's Night,1964,87,7.5,46317,Richard Lester,Alun Owen,560000,1626784
tt0058331,Mary Poppins,1964,139,7.8,177276,Robert Stevenson,"Bill Walsh, Don DaGradi, P.L. Travers",6000000,102296470
tt0058385,My Fair Lady,1964,170,7.8,97888,George Cukor,"Alan Jay Lerner, George Bernard Shaw",17000000,72072607
tt0058701,Une Femme Mariée,1964,95,7.1,4078,Jean-Luc Godard,Jean-Luc Godard,120000,0
tt0059113,Doctor Zhivago,1965,197,7.9,78913,David Lean,"Boris Pasternak, Robert Bolt",11000000,112040388
tt0059245,The Greatest Story Ever Told,1965,260,6.5,10900,"George Stevens, David Lean, Jean Negulesco","Fulton Oursler, Henry Denker, James Lee Barrett, George Stevens, nm0761325",20000000,15473333
tt0059418,Major Dundee,1965,123,6.7,8367,Sam Peckinpah,"Harry Julian Fink, Oscar Saul, Sam Peckinpah",3800000,14873
tt0059742,The Sound of Music,1965,172,8.1,242463,Robert Wise,"Georg Hurdalek, Howard Lindsay, Russel Crouse, Ernest Lehman, Maria von Trapp",8200000,286213504
tt0059800,Thunderball,1965,130,6.9,121626,Terence Young,"Richard Maibaum, John Hopkins, Jack Whittingham, Kevin McClory, Ian Fleming",9000000,141200000
tt0060438,A Funny Thing Happened on the Way to the Forum,1966,99,6.8,9511,Richard Lester,"Melvin Frank, Michael Pertwee, Burt Shevelove, Larry Gelbart, Titus Maccius Plautus",2000000,0
tt0060490,Harper,1966,121,6.8,9968,Jack Smight,"William Goldman, Ross Macdonald",3500000,12000000
tt0060491,Hawaii,1966,189,6.5,3338,"George Roy Hill, Arthur Hiller","James A. Michener, Dalton Trumbo, Daniel Taradash",15000000,34562222
tt0060665,A Man for All Seasons,1966,120,7.7,35648,Fred Zinnemann,Robert Bolt,3900000,28350000
tt0061107,Torn Curtain,1966,128,6.6,27936,Alfred Hitchcock,"Brian Moore, Willis Hall, Keith Waterhouse",3000000,13000000
tt0061418,Bonnie and Clyde,1967,111,7.7,115742,Arthur Penn,"David Newman, Robert Benton, Robert Towne",2500000,50700128
tt0061452,Casino Royale,1967,131,5,30956,"Val Guest, Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Richard Talmadge","Wolf Mankowitz, nm0492339, nm0768476, Ian Fleming, Woody Allen, Peter Sellers, Billy Wilder, Val Guest, Ben Hecht, Joseph Heller, Terry Southern",12000000,41744718
tt0061809,In Cold Blood,1967,134,7.9,27511,Richard Brooks,"Truman Capote, Richard Brooks",3500000,13007551
tt0061811,In the Heat of the Night,1967,110,7.9,78888,Norman Jewison,"Stirling Silliphant, John Ball",2000000,24407647
tt0062138,Point Blank,1967,92,7.3,21942,John Boorman,"Alexander Jacobs, David Newhouse, Rafe Newhouse, Donald E. Westlake",3000000,0
tt0062512,You Only Live Twice,1967,117,6.8,112504,Lewis Gilbert,"Harold Jack Bloom, Roald Dahl, Ian Fleming, Geoffrey Jenkins",9500000,111600000
tt0062622,2001: A Space Odyssey,1968,149,8.3,680180,Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke",10500000,71801274
tt0062711,Barbarella,1968,98,5.8,35957,Roger Vadim,"Jean-Claude Forest, Terry Southern, Roger Vadim, Claude Brulé, Vittorio Bonicelli, Clement Biddle Wood, Brian Degas, Tudor Gates, Charles B. Griffith",9000000,0
tt0063350,Night of the Living Dead,1968,96,7.8,132481,George A. Romero,"John A. Russo, George A. Romero",114000,30087064
tt0063385,Oliver!,1968,153,7.4,39736,Carol Reed,"Lionel Bart, Vernon Harris, Charles Dickens",10000000,37402877
tt0063442,Planet of the Apes,1968,112,8,184005,Franklin J. Schaffner,"Michael Wilson, Rod Serling, Pierre Boulle, John T. Kelley",5800000,33398936
tt0063522,Rosemary's Baby,1968,137,8,222026,Roman Polanski,"Ira Levin, Roman Polanski",3200000,33396740
tt0063592,Shalako,1968,113,5.6,3253,Edward Dmytryk,"Louis L'Amour, James Griffith, Hal Hopper, Scot Finch, Clarke Reynolds",1455000,2620000
tt0064115,Butch Cassidy and the Sundance Kid,1969,110,8,219586,George Roy Hill,William Goldman,6000000,102311313
tt0064665,Midnight Cowboy,1969,113,7.8,114255,John Schlesinger,"Waldo Salt, James Leo Herlihy",3600000,44796329
tt0064757,On Her Majesty's Secret Service,1969,142,6.7,94637,Peter R. Hunt,"Simon Raven, Richard Maibaum, Ian Fleming",8000000,82000000
tt0064782,Paint Your Wagon,1969,164,6.6,14165,Joshua Logan,"Alan Jay Lerner, Paddy Chayefsky",20000000,31678778
tt0064990,Mississippi Mermaid,1969,123,6.9,6904,François Truffaut,"Cornell Woolrich, François Truffaut",1600000,2627795
tt0065054,Sweet Charity,1969,149,6.9,6172,Bob Fosse,"Neil Simon, Federico Fellini, Tullio Pinelli, Ennio Flaiano, Peter Stone",20000000,8000000
tt0065112,Topaz,1969,143,6.2,18780,Alfred Hitchcock,"Leon Uris, Samuel A. Taylor",4000000,6000000
tt0065214,The Wild Bunch,1969,145,7.9,86749,Sam Peckinpah,"Walon Green, Sam Peckinpah, Roy N. Sickner",6000000,509424
tt0065446,The Ballad of Cable Hogue,1970,121,7.2,10060,Sam Peckinpah,"John Crawford, Edmund Penney, Gordon T. Dawson",3716946,5000000
tt0065462,Beneath the Planet of the Apes,1970,95,6,48454,Ted Post,"Paul Dehn, Mort Abrahams, Pierre Boulle",3000000,17489009
tt0065466,Beyond the Valley of the Dolls,1970,109,6.1,11531,Russ Meyer,"Roger Ebert, Russ Meyer",1000000,9000000
tt0065528,Catch-22,1970,122,7.1,25598,Mike Nichols,"Joseph Heller, Buck Henry",18000000,24911670
tt0065579,Cotton Comes to Harlem,1970,97,6.5,2495,Ossie Davis,"Chester Himes, Arnold Perl, Ossie Davis",1200000,0
tt0065611,Darling Lili,1970,136,6,2277,Blake Edwards,"Blake Edwards, William Peter Blatty",22000000,5000000
tt0066026,M*A*S*H,1970,116,7.4,74495,Robert Altman,"Richard Hooker, Ring Lardner Jr.",3500000,81600000
tt0066090,The Molly Maguires,1970,124,6.8,4105,Martin Ritt,"Arthur H. Lewis, Walter Bernstein",11000000,2200000
tt0066206,Patton,1970,172,7.9,104414,Franklin J. Schaffner,"Francis Ford Coppola, Edmund H. North, Ladislas Farago, Omar N. Bradley",12000000,62500000
tt0066473,Tora! Tora! Tora!,1970,144,7.5,35416,"Richard Fleischer, Kinji Fukasaku, Toshio Masuda, Akira Kurosawa","Larry Forrester, Hideo Oguni, Ryûzô Kikushima, nm0695218, Ladislas Farago, Akira Kurosawa",25000000,29548291
tt0066549,Waterloo,1970,134,7.2,11053,Sergey Bondarchuk,"H.A.L. Craig, Sergey Bondarchuk, Vittorio Bonicelli, Mario Soldati",25000000,0
tt0066580,Woodstock,1970,184,8.1,17806,Michael Wadleigh,\N,600000,34699266
tt0066769,The Andromeda Strain,1971,131,7.2,38506,Robert Wise,"Michael Crichton, Nelson Gidding",6500000,12376563
tt0066808,Bananas,1971,82,6.9,36423,Woody Allen,"Woody Allen, Mickey Rose",2000000,0
tt0066832,Billy Jack,1971,114,6.2,6269,Tom Laughlin,"Tom Laughlin, Delores Taylor",800000,98000000
tt0066995,Diamonds Are Forever,1971,120,6.5,109350,Guy Hamilton,"Richard Maibaum, Tom Mankiewicz, Ian Fleming",7200000,115999985
tt0067065,Escape from the Planet of the Apes,1971,98,6.3,36630,Don Taylor,"Paul Dehn, Pierre Boulle",2500000,12300000
tt0067093,Fiddler on the Roof,1971,181,8,45094,Norman Jewison,"Sholom Aleichem, Arnold Perl, Joseph Stein",9000000,80501127
tt0067116,The French Connection,1971,104,7.7,126647,William Friedkin,"Ernest Tidyman, Robin Moore",2200000,41159421
tt0067992,Willy Wonka & the Chocolate Factory,1971,100,7.8,207538,Mel Stuart,"Roald Dahl, David Seltzer",3000000,4065791
tt0067756,Silent Running,1972,89,6.6,30192,Douglas Trumbull,"Deric Washburn, Michael Cimino, Steven Bochco",1100000,0
tt0068156,1776,1972,141,7.6,9837,Peter H. Hunt,"Peter Stone, Sherman Edwards",4000000,0
tt0068408,Conquest of the Planet of the Apes,1972,88,6.1,33830,J. Lee Thompson,"Paul Dehn, Pierre Boulle",1700000,9700000
tt0068468,Deep Throat,1972,61,5,6883,Gerard Damiano,Gerard Damiano,25000,45000000
tt0068611,Frenzy,1972,116,7.4,47114,Alfred Hitchcock,"Arthur La Bern, Anthony Shaffer",3500000,12600000
tt0068646,The Godfather,1972,175,9.2,1892959,Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",7000000,270007394
tt0068833,The Last House on the Left,1972,84,5.9,38394,Wes Craven,"Wes Craven, Ulla Isaksson",87000,3100000
tt0068699,High Plains Drifter,1973,105,7.4,60222,Clint Eastwood,"Ernest Tidyman, Dean Riesner",5500000,15700000
tt0069704,American Graffiti,1973,110,7.4,92690,George Lucas,"George Lucas, Gloria Katz, Willard Huyck",777000,140000000
tt0069768,Battle for the Planet of the Apes,1973,93,5.4,31963,J. Lee Thompson,"Pierre Boulle, Paul Dehn, John William Corrington, Joyce Hooper Corrington",1800000,8800000
tt0070047,The Exorcist,1973,122,8.1,417192,William Friedkin,William Peter Blatty,12000000,428214478
tt0070328,Live and Let Die,1973,121,6.7,110560,Guy Hamilton,"Tom Mankiewicz, Ian Fleming",7000000,161800000
tt0070511,Papillon,1973,151,8,133263,Franklin J. Schaffner,"Dalton Trumbo, Lorenzo Semple Jr., Henri Charrière, William Goldman",13500000,53292989
tt0070666,Serpico,1973,130,7.7,126874,Sidney Lumet,"Peter Maas, Waldo Salt, Norman Wexler",3000000,27274150
tt0070707,Sleeper,1973,89,7.1,43702,Woody Allen,"Woody Allen, Marshall Brickman",2000000,18344729
tt0070735,The Sting,1973,129,8.3,267981,George Roy Hill,David S. Ward,5500000,159616327
tt0071206,Benji,1974,86,6.1,4979,Joe Camp,Joe Camp,500000,31559560
