startYear,Top 0%-10%,Top 10%-20%,Top 20%-30%,Top 30%-40%,Top 40%-50%,Top 50%-60%,Top 60%-70%,Top 70%-80%,Top 80%-90%,Top 90%-100%
1989.0,102.0,95.0,96.0,92.0,93.0,93.0,93.0,90.0,90.0,90.0
1990.0,103.0,96.0,96.0,94.0,92.0,93.0,90.0,90.0,90.0,90.0
1991.0,103.0,97.0,95.0,93.0,92.0,93.0,90.0,90.0,91.0,90.0
1992.0,104.5,99.0,95.0,95.0,94.0,93.0,91.5,92.0,90.0,90.0
1993.0,105.0,98.0,96.0,94.5,94.0,93.0,90.0,90.0,89.0,90.0
1994.0,103.0,100.0,95.0,95.0,95.0,94.0,92.0,92.0,90.0,88.0
1995.0,104.0,99.0,95.0,93.5,93.0,92.0,92.0,90.5,90.5,90.0
1996.0,106.0,98.0,96.0,95.0,95.0,91.0,94.0,90.0,90.0,89.5
1997.0,105.0,100.0,95.0,95.0,94.0,93.0,92.0,90.0,90.0,86.0
1998.0,104.0,99.0,97.0,95.0,93.0,92.0,91.5,90.0,90.0,87.0
1999.0,105.0,100.0,98.0,95.0,93.0,92.0,90.0,92.0,90.0,87.0
2000.0,105.0,100.0,96.0,96.0,92.0,91.0,91.0,90.0,87.0,88.0
2001.0,104.0,99.5,97.0,95.0,92.5,93.0,90.0,90.0,90.0,85.0
2002.0,101.0,100.0,98.5,95.0,92.0,92.0,91.0,90.0,88.0,85.0
2003.0,104.0,100.0,97.0,96.0,94.0,93.0,90.0,89.0,86.0,85.0
2004.0,104.0,98.0,95.0,95.0,95.0,92.0,89.0,88.0,86.0,84.0
2005.0,104.0,100.0,96.0,94.0,93.0,91.5,90.0,87.0,85.0,80.0
2006.0,102.0,97.0,96.0,95.0,93.0,90.0,90.0,87.0,85.0,83.0
2007.0,101.0,98.0,95.0,95.0,92.0,90.0,90.0,88.0,85.0,83.0
2008.0,101.0,98.0,96.0,95.0,92.0,90.0,90.0,88.0,84.0,84.0
2009.0,100.0,96.0,94.0,92.0,90.0,90.0,88.0,86.0,85.0,84.0
2010.0,103.0,96.0,95.0,91.0,90.0,90.0,87.0,85.5,83.0,82.0
2011.0,102.0,96.0,93.0,92.0,90.0,90.0,88.0,86.0,82.0,80.0
2012.0,101.0,95.0,93.0,91.0,90.0,88.0,88.0,85.0,86.0,82.0
2013.0,102.0,96.0,94.0,91.0,90.0,90.0,86.0,85.0,84.0,82.0
2014.0,102.0,95.0,94.0,92.0,90.0,90.0,88.0,85.0,85.0,82.0
2015.0,100.0,97.0,95.0,93.0,90.0,90.0,89.0,86.0,85.0,80.0
2016.0,103.0,98.0,94.0,93.0,90.0,90.0,88.0,86.0,85.0,83.0
2017.0,104.0,98.0,94.0,93.0,91.0,90.0,89.0,87.0,85.0,83.0
2018.0,104.0,99.0,94.0,93.0,92.0,90.0,89.0,86.0,85.0,83.0
2019.0,104.0,100.0,96.0,94.0,91.5,90.0,89.0,88.0,87.0,82.0
2020.0,102.0,97.0,94.0,92.0,90.0,88.0,87.0,85.0,83.0,81.0
2021.0,108.0,102.0,96.0,94.0,92.0,91.0,90.0,89.0,86.0,83.0
2022.0,112.0,108.0,100.0,98.5,96.0,95.0,93.0,90.0,90.0,88.0
2023.0,116.5,106.0,108.0,99.0,97.0,92.0,95.0,93.0,90.0,90.0
